,ID,X,Y,H,H_err,J,J_err,K,K_err,chi,sharp,ra,dec,rgc
8036,5379,3589.534,3266.524,21.4785,0.0258,21.567,0.0588,20.578,0.0377,0.4400,0.0710,204.1954093737202,-29.812476922584466,7.062348005182258
8037,5364,3774.965,3266.551,22.2865,0.0435,22.162999999999997,0.0865,21.798,0.0916,0.3983,-0.0970,204.18591094806723,-29.81247651289365,7.627052282096343
8038,26091,3810.244,3266.564,21.145500000000002,0.0210,20.704,0.0388,19.351,0.0154,0.5007,-0.0240,204.1841038340088,-29.81247600856749,7.738199038989426
8039,26111,4369.096,3266.564,21.3865,0.0210,21.183,0.0387,20.461,0.0333,0.4720,-0.2530,204.1554774771442,-29.812473892576772,9.614358226875586
8044,5405,3847.524,3266.620,20.8245,0.0180,20.682000000000002,0.0317,19.852,0.0237,0.4867,0.1223,204.1821942216799,-29.812473570578607,7.856917869999452
8053,26107,4106.344,3267.048,21.2985,0.0229,21.214,0.0520,20.468999999999998,0.0326,0.5083,-0.1020,204.16893655656148,-29.812454144781682,8.709722707307026
8056,26097,3303.029,3267.150,21.079500000000003,0.0190,20.981,0.0469,20.139,0.0252,0.4837,-0.0510,204.21008515337306,-29.81244654376631,6.271607658403621
8057,26108,4158.916,3267.284,21.631500000000003,0.0235,21.296,0.0461,20.506999999999998,0.0293,0.5687,-0.0810,204.1662436365484,-29.8124434122242,8.888619856756756
8060,5390,4453.753,3267.413,22.4615,0.0505,22.265,0.0932,21.843999999999998,0.1008,0.5203,0.0913,204.151141060524,-29.81243530062657,9.915190481161126
8061,26123,4259.308,3267.448,20.9925,0.0202,20.771,0.0418,20.021,0.0255,0.5867,0.1607,204.16110120981452,-29.812435506345867,9.233727581523524
8062,5415,4387.751,3267.448,22.4175,0.0436,22.330999999999996,0.0814,21.544999999999998,0.0832,0.4783,0.0943,204.15452191268625,-29.812434426648114,9.682040209726829
8063,5414,4361.602,3267.459,22.087500000000002,0.0353,21.923000000000002,0.0766,21.384999999999998,0.0625,0.4837,-0.0157,204.15586135546909,-29.812434183989232,9.590180621100394
8064,26122,4190.921,3267.481,21.5365,0.0240,21.418,0.0478,20.711,0.0384,0.4737,0.1660,204.1646042302046,-29.812434481590948,8.998420782088004
8067,26120,3891.358,3267.619,20.8255,0.0156,20.641999999999996,0.0278,19.854,0.0199,0.4150,-0.1443,204.1799488904617,-29.812429195309207,8.00052491251977
8068,26117,3477.639,3267.633,21.6175,0.0303,21.595999999999997,0.0665,20.872,0.0482,0.5000,-0.2937,204.20114101670686,-29.812426828195683,6.743282919361149
8073,5412,4286.296,3267.750,23.1705,0.0965,23.118000000000002,0.1822,,,0.4180,0.2430,204.15971879322493,-29.812421884306712,9.328012276729256
8077,26143,4423.875,3267.993,21.326500000000003,0.0262,21.033,0.0511,20.368,0.0378,0.6520,0.2267,204.15267152241805,-29.812409842051217,9.810738650714386
8085,5424,4003.302,3268.199,21.2525,0.0237,21.427999999999997,0.0584,20.387,0.0326,0.5133,0.0773,204.17421473049532,-29.81240330844486,8.368207939640637
8092,5344,3446.154,3268.507,22.020500000000002,0.0418,21.979,0.0946,21.373,0.0730,0.5113,0.2253,204.20275377876635,-29.812387712514347,6.658179536747348
8096,26131,3562.275,3268.628,21.6475,0.0275,21.513999999999996,0.0585,20.873,0.0445,0.4443,0.2383,204.19680565907814,-29.812383238036407,6.988904011849589
8100,26134,3860.707,3268.688,21.160500000000003,0.0188,21.113999999999997,0.0362,20.445999999999998,0.0311,0.4153,0.0513,204.18151894047392,-29.81238167089808,7.90489418213655
8105,26132,3658.711,3268.872,20.765500000000003,0.0161,20.509,0.0286,19.492,0.0177,0.4917,-0.2180,204.1918658726664,-29.81237294130012,7.275965674184912
8108,5480,4025.312,3269.002,21.814500000000002,0.0324,21.592999999999996,0.0581,20.477999999999998,0.0429,0.5247,0.2170,204.17308730430523,-29.812367568987636,8.443341521456322
8110,26136,4020.341,3269.038,21.561500000000002,0.0248,21.411,0.0472,20.662,0.0451,0.4877,0.2663,204.17334193617054,-29.812365981245453,8.426923120084108
8111,5398,3415.114,3269.055,22.3305,0.0493,22.092999999999996,0.1010,21.494,0.0738,0.4640,0.2517,204.2043437486926,-29.812363070385434,6.574617697234961
8116,5446,4367.197,3269.250,21.9405,0.0339,21.775999999999996,0.0596,20.963,0.0533,0.4680,-0.3220,204.15557477924872,-29.812354532449014,9.614072715501921
8126,5435,3548.223,3269.912,20.994500000000002,0.0217,21.125999999999998,0.0484,20.525,0.0381,0.5037,0.1270,204.19752544082232,-29.81232607623052,6.9520490505781485
8140,26176,4015.895,3270.350,21.622500000000002,0.0269,21.496000000000002,0.0481,20.875999999999998,0.0475,0.4493,-0.0357,204.17356967914216,-29.812307680685603,8.415651481552457
8145,26113,4456.672,3270.675,22.7605,0.0717,22.634,0.1460,21.761,0.1070,0.5867,-0.1017,204.15099158068614,-29.812290290739615,9.933100700451208
