,ID,X,Y,H,H_err,J,J_err,K,K_err,chi,sharp,ra,dec
10757,47208,1768.634,793.702,22.369999999999997,0.1151,22.981,0.0840,22.1315,0.2577,0.5080,-0.5573,152.76752908471468,-4.707753529558283
10758,153850,2534.472,793.798,19.4,0.0164,20.14,0.0108,19.2225,0.0221,0.5820,-0.7130,152.73337664430343,-4.70774955087642
10759,153847,1867.097,793.830,20.369,0.0301,20.998,0.0159,20.046499999999998,0.0364,0.5840,-0.5460,152.76313814099987,-4.707747970983861
10760,153852,2930.314,794.019,21.540999999999997,0.0626,22.080000000000002,0.0392,21.4995,0.1233,0.6290,-2.1493,152.71572412674038,-4.707739224748319
10763,153848,2044.505,794.402,20.331,0.0305,20.949,0.0160,20.0245,0.0401,0.6300,-0.7737,152.75522665548328,-4.707722714103663
10765,47220,1005.924,794.535,17.080999999999996,0.0065,17.731,0.0063,16.8615,0.0130,0.8097,-0.5290,152.80154201327403,-4.7077145656328865
10766,153863,2499.173,794.688,22.293999999999997,0.1094,22.664,0.0641,21.5705,0.2089,0.7050,0.0477,152.7349507989026,-4.707710018707881
10767,5007810,3104.306,794.795,22.197,0.1812,23.476,0.1292,21.8315,0.2110,0.6760,-1.9980,152.70796498155522,-4.707704373672585
10768,153860,1201.820,794.804,21.337,0.0518,22.086000000000002,0.0352,21.2635,0.0937,0.5867,-0.4333,152.79280606472244,-4.707703266443159
10770,47225,2548.788,795.112,22.543999999999997,0.1169,22.944,0.0839,,,0.4835,-1.9855,152.73273822522967,-4.707691140485447
10771,5007812,2121.459,795.458,22.052999999999997,0.1162,22.829,0.0687,,,0.5310,-1.1900,152.7517949020334,-4.707675824752472
10772,153871,1363.887,795.645,21.250999999999998,0.0511,21.792,0.0305,20.9055,0.0738,0.6057,-0.0683,152.78557871154084,-4.7076663493733415
10777,153872,1773.590,796.082,20.046,0.0233,20.593,0.0124,19.8105,0.0316,0.5607,-0.1753,152.7673080691897,-4.707647759148624
10781,153883,1902.652,796.685,19.958,0.0229,20.489,0.0140,19.729499999999998,0.0316,0.6190,-0.0963,152.76155256770014,-4.707621122561636
10782,153882,1833.140,796.712,20.218999999999998,0.0271,20.725,0.0153,19.982499999999998,0.0384,0.6230,-0.1637,152.76465244498007,-4.707619840446706
10784,153885,3848.607,797.355,22.084999999999997,0.0932,22.526,0.0529,21.7415,0.1403,0.6083,-0.7890,152.67477302235324,-4.707588076322958
10789,153890,1696.519,797.785,21.360999999999997,0.0554,21.339000000000002,0.0227,21.0555,0.0768,0.5807,-1.1947,152.77074503603959,-4.707571950256222
10791,153893,2265.031,798.016,19.13,0.0187,19.761,0.0113,18.9785,0.0242,0.7810,0.0720,152.74539232875517,-4.707562173009638
10792,153892,2143.279,798.201,22.423,0.1294,23.159,0.0970,,,0.5965,-2.4630,152.75082184112674,-4.707553923199894
10793,153904,2847.059,798.356,18.391,0.0123,18.995,0.0079,18.0805,0.0143,0.7257,-0.6447,152.71943687814618,-4.707546612400833
10795,153903,2742.307,798.554,20.348,0.0289,20.967000000000002,0.0164,20.0665,0.0382,0.5953,-0.6450,152.72410827753927,-4.707537964284711
10797,153907,3550.233,798.787,21.154999999999998,0.0473,21.801000000000002,0.0326,20.8955,0.0750,0.6353,-0.7430,152.6880789562817,-4.707525630975917
10798,153901,1984.431,798.796,22.41,0.1240,22.898,0.0704,21.8805,0.2463,0.6620,-0.2813,152.7579056434411,-4.707527379513604
10799,153900,1594.032,798.884,21.811999999999998,0.0777,22.824,0.0699,21.5905,0.1764,0.5817,-1.5047,152.77531542548272,-4.707522920041223
10802,153905,2947.877,799.122,22.258999999999997,0.0956,22.699,0.0616,,,0.5150,-1.1635,152.71494091686844,-4.707512392419724
10804,5007818,2315.623,799.444,22.362,0.1512,22.729,0.0690,,,0.5555,-0.2965,152.74313618610958,-4.707498705519685
10806,47266,1527.915,799.535,22.023999999999997,0.0869,22.487000000000002,0.0548,21.7545,0.1583,0.6423,0.0007,152.7782639008611,-4.707493851036923
10808,47270,1770.158,799.696,22.092,0.0974,22.929000000000002,0.0756,21.8405,0.1553,0.5507,-0.7503,152.76746111350212,-4.707487132165775
10809,153922,2520.165,799.770,21.683,0.0756,22.240000000000002,0.0432,21.3295,0.1175,0.6540,-0.9207,152.73401466696433,-4.70748413890029
10810,153899,1480.722,799.789,22.546,0.1305,22.891000000000002,0.0764,,,0.5565,-0.3990,152.78036846418092,-4.70748245770486
10811,153916,1658.938,799.972,20.08,0.0241,20.754,0.0146,19.8495,0.0320,0.5813,-0.5893,152.77242095099965,-4.707474685714047
10812,153917,1852.340,800.015,20.634999999999998,0.0342,21.318,0.0227,20.415499999999998,0.0472,0.5813,-0.7573,152.76379621984046,-4.707473064705478
10813,153923,2727.311,800.148,21.798,0.0761,22.308,0.0439,21.6565,0.1392,0.6233,-2.5740,152.72477702382545,-4.707467139132194
10817,153920,2357.287,800.358,18.642,0.0155,19.389,0.0089,18.0515,0.0115,0.7183,-0.3457,152.74127818653756,-4.707458077147642
10818,153914,1269.667,800.403,22.642,0.1396,23.188,0.0868,22.0735,0.2679,0.6307,-1.2907,152.78978042322439,-4.707454624329727
10820,153936,2556.208,800.664,21.612,0.0722,22.316,0.0424,21.4805,0.2063,0.7373,-1.5173,152.73240733562318,-4.707444379611843
10823,153932,1763.742,800.903,20.798,0.0336,21.419,0.0225,20.6415,0.0522,0.5370,-0.7177,152.76774723223497,-4.7074334783798895
10829,153938,3592.878,801.304,21.418,0.0573,22.079,0.0395,21.3125,0.1031,0.6317,-0.2567,152.68617722005564,-4.707413608636251
10830,47292,1710.966,801.330,22.601,0.1377,23.804000000000002,0.1782,,,0.5365,-3.7160,152.7701007686239,-4.7074144187274545
10831,153945,2376.570,801.360,21.27,0.0630,21.955000000000002,0.0364,21.2565,0.1456,0.7760,-0.1123,152.7404182643896,-4.707413539334444
10840,153950,1030.924,802.432,22.671,0.2389,23.241,0.1100,21.8615,0.1503,0.6637,-3.4960,152.8004271150103,-4.707363678321459
10844,153955,1692.637,803.531,20.505,0.0291,20.71,0.0140,20.3855,0.0445,0.5363,-0.8593,152.7709181436797,-4.707316566352392
10848,153954,1505.166,803.982,22.06,0.0891,22.675,0.0591,22.0965,0.2846,0.5840,-1.3367,152.7792783789724,-4.707296157328759
10850,47326,2826.560,804.257,22.508999999999997,0.1350,23.017,0.0810,21.9345,0.2420,0.6383,-0.6663,152.72035103682842,-4.707284378280846
10852,153960,1621.603,804.314,20.825999999999997,0.0382,21.485,0.0251,20.6605,0.0598,0.6003,-0.0700,152.77408589111351,-4.707281639990529
10853,153962,1997.015,804.366,22.051,0.0856,22.578,0.0588,21.7015,0.1888,0.5643,-0.3793,152.75734445738595,-4.707279834773702
10854,153977,2380.656,804.406,21.455,0.0711,21.949,0.0370,21.1435,0.1209,0.7500,-0.6797,152.7402360506889,-4.707278160640818
10858,153978,2515.512,804.599,20.933999999999997,0.0477,21.596,0.0269,20.7385,0.0767,0.6813,-1.2003,152.7342221699225,-4.707269520058067
10859,47317,1992.332,804.713,22.523,0.1176,22.961000000000002,0.0808,22.011499999999998,0.1698,0.5987,-0.5210,152.7575532947014,-4.7072644087261395
10860,153974,2060.418,804.775,20.148999999999997,0.0290,20.76,0.0162,19.886499999999998,0.0317,0.6293,0.0560,152.75451701094514,-4.707261702968897
10861,153973,1888.887,804.892,19.805999999999997,0.0204,19.854,0.0089,19.7575,0.0280,0.5473,-0.4343,152.76216640673192,-4.707256352341292
10863,5007825,1938.596,804.999,22.441,0.1729,23.03,0.0788,,,0.5665,-2.9255,152.75994964225436,-4.70725164904097
10865,153971,1740.756,805.138,20.744,0.0379,20.85,0.0155,20.5235,0.0501,0.5927,-0.2940,152.7687722826891,-4.7072452217269065
10867,153969,1641.556,805.396,21.349999999999998,0.0526,22.115000000000002,0.0368,21.3235,0.0913,0.5667,-0.7723,152.77319608865366,-4.707233588126881
10871,153992,2616.674,805.834,21.941,0.0866,22.749000000000002,0.0640,21.6325,0.1794,0.6027,-2.1680,152.7297108687077,-4.707214550232773
10872,153988,2114.089,806.228,21.898999999999997,0.0844,22.652,0.0633,21.7735,0.2303,0.6257,-0.3593,152.75212356100377,-4.707197155254457
10877,5007829,1606.216,807.061,22.238999999999997,0.1296,23.015,0.0808,,,0.5260,-1.3740,152.77477206641964,-4.707159522011291
10880,154001,3051.199,807.316,18.258999999999997,0.0108,18.853,0.0082,17.9575,0.0140,0.7393,-0.7613,152.7103333069361,-4.7071480053075945
10885,154011,1803.706,807.916,22.668999999999997,0.1487,22.775000000000002,0.0633,22.1725,0.2791,0.6227,-0.1450,152.76596503468826,-4.7071218466876745
10886,154016,2574.439,807.943,21.997,0.0903,22.786,0.0716,,,0.5770,-2.8065,152.73159433298093,-4.707120854381014
10887,154014,2467.682,807.961,22.284,0.1106,23.088,0.0889,22.0025,0.2743,0.5810,-1.0787,152.73635514250702,-4.7071201262241065
10889,47340,2017.727,808.013,22.493,0.1276,23.606,0.1407,21.7215,0.1792,0.5417,-0.2617,152.7564208064879,-4.707117762369482
10891,154015,2472.828,808.344,22.031,0.0797,22.639,0.0593,21.4495,0.1778,0.5697,-0.2933,152.73612565774823,-4.707103101303872
10898,154018,1595.159,809.259,22.032999999999998,0.0906,22.373,0.0462,22.0645,0.2715,0.5870,-0.6910,152.77526514703013,-4.707061811818456
10900,154020,2091.504,809.371,21.497999999999998,0.0672,22.123,0.0406,21.7685,0.1510,0.6567,-1.1590,152.7531307335052,-4.707057454935309
10902,154019,1988.757,809.457,20.831,0.0413,21.411,0.0232,20.7895,0.0643,0.6247,-0.2253,152.7577127172896,-4.707053561589726
