,ID,X,Y,J,J_err,H,H_err,K,K_err,chi,sharp,ra,dec,rgc
68484,146608,3478.656,4062.717,21.482999999999997,0.0199,20.582,0.0378,20.2555,0.0277,0.5603,-0.4013,11.774254004510054,-20.76970206601813,4.617227060635351
68499,146612,3621.877,4063.177,21.357999999999997,0.0189,20.437,0.0364,20.1585,0.0253,0.6783,-0.3973,11.767446212032711,-20.769681474073177,6.816867999996611
68502,146613,3680.200,4063.242,20.165999999999997,0.0091,19.537000000000003,0.0196,19.2655,0.0146,0.6467,-0.0267,11.764673917121609,-20.769678448271186,7.7147076164567325
68512,40221,3797.398,4063.501,22.86,0.0470,21.785,0.0878,21.5935,0.0840,0.7163,-0.1993,11.759103089879588,-20.769666527555685,9.520299904056017
68535,146628,3787.215,4064.320,20.978,0.0134,20.347,0.0329,20.0745,0.0280,0.7733,-0.1287,11.759587126841282,-20.76963017027234,9.36211621602045
68542,146630,3964.906,4064.508,20.195,0.0083,19.328,0.0195,18.5755,0.0097,0.7877,0.1873,11.751140860321796,-20.76962087478713,12.102171525289037
68548,146631,4013.855,4064.679,21.911,0.0248,20.964000000000002,0.0538,20.6925,0.0431,0.8710,0.0313,11.748814146638495,-20.76961294333667,12.857104418052252
68551,146650,3605.937,4064.712,21.805999999999997,0.0242,20.398,0.0335,19.9935,0.0227,0.6353,-0.1867,11.768203898579774,-20.7696132815349,6.569227482967854
68585,146673,3889.536,4066.009,22.142000000000003,0.0285,21.605,0.0770,21.5635,0.0752,0.7820,0.0663,11.754723465574802,-20.769554612784475,10.937411254354357
68591,146658,2394.907,4066.231,21.000999999999998,0.0154,20.149,0.0383,19.6595,0.0228,1.0263,-0.1157,11.825768306574902,-20.76953831122214,12.17378757790787
68598,146674,4065.501,4066.374,21.450000000000003,0.0175,20.178,0.0322,19.6685,0.0197,0.8640,-0.3717,11.746359248224019,-20.769537226337416,13.651575198744776
68606,146667,3530.542,4066.604,21.073,0.0162,20.19,0.0309,19.610500000000002,0.0188,0.6677,-0.0590,11.77178768523512,-20.76952928801597,5.407114747860538
68607,40307,4017.641,4066.609,22.536,0.0390,21.464000000000002,0.0745,21.6545,0.0876,0.8483,0.2483,11.748634199730075,-20.769527138630135,12.912762753736738
68627,146677,1873.881,4067.073,20.680999999999997,0.0115,19.821,0.0273,19.0095,0.0131,0.9110,0.3220,11.850534413703675,-20.76949178005876,20.2166461589322
68637,146687,2885.537,4067.385,21.293,0.0174,20.434,0.0354,20.0585,0.0234,0.6780,0.2437,11.802446978113812,-20.76949235501718,4.618886830726021
68638,146701,3870.984,4067.396,21.619,0.0206,20.84,0.0423,20.4765,0.0326,0.7237,0.3493,11.755605313606614,-20.76949306749897,10.64927473286938
68646,146700,3797.117,4067.506,22.43,0.0381,21.689,0.0792,21.5825,0.0872,0.7750,0.0563,11.759116465011116,-20.769488528767482,9.510086839816141
68668,146716,4184.474,4068.452,20.991999999999997,0.0148,20.168000000000003,0.0306,19.7215,0.0211,0.8747,-0.0377,11.740704075178861,-20.76944385424833,15.484666926506577
68688,40298,3063.191,4068.926,20.21,0.0090,,,18.8915,0.0122,0.5025,-0.3190,11.79400246833737,-20.769425020901448,1.9251289584387883
68692,146724,2921.914,4068.975,20.951,0.0137,20.292,0.0304,20.0185,0.0232,0.6140,-0.1777,11.80071784301691,-20.769421958412615,4.063260640695057
68694,146722,2893.858,4069.037,21.656999999999996,0.0212,20.806,0.0414,20.5365,0.0324,0.6337,-0.0873,11.802051439270366,-20.76941899610551,4.492940957746466
68696,146733,3461.556,4069.041,20.817,0.0127,20.200000000000003,0.0320,19.5325,0.0164,0.5190,0.0580,11.775066826251637,-20.769420999053043,4.344869773281036
68719,146758,3571.303,4069.784,21.819000000000003,0.0242,20.964000000000002,0.0538,20.6125,0.0348,0.6687,0.2737,11.76985017944718,-20.769387912361168,6.028628135398073
68735,40383,3177.957,4070.219,20.262999999999998,0.0099,19.669,0.0224,19.4365,0.0155,0.5110,0.0280,11.788547245337671,-20.769368080827277,0.5572849286979998
68739,146747,3098.364,4070.397,20.583999999999996,0.0108,19.797,0.0230,19.4635,0.0157,0.5360,0.1320,11.792330568570843,-20.769359822818238,1.4140125417585205
68744,146784,4090.211,4070.554,21.442,0.0194,20.667,0.0445,20.2205,0.0273,0.8620,-0.1050,11.745184733475318,-20.76935125268786,14.026952461820187
68751,146745,2816.457,4070.668,21.247,0.0156,20.239,0.0284,19.9455,0.0216,0.6440,-0.1593,11.805730555933746,-20.76934588348037,5.6827817436398425
68760,146685,2727.424,4070.814,22.531,0.0412,21.601000000000003,0.0783,21.4005,0.0695,0.7580,0.3047,11.8099625920051,-20.76933858023377,7.052769134943552
68765,146767,2522.159,4070.986,18.512,0.0039,17.697,0.0096,17.3775,0.0070,0.8473,-0.0357,11.81971952277928,-20.769328663370253,10.21646981888962
68773,146775,3221.399,4071.230,19.326,0.0060,18.525000000000002,0.0119,18.1465,0.0081,0.5300,-0.2777,11.786482296739925,-20.769323301892726,0.8118514279656361
