,ID,X,Y,J,J_err,K,K_err,chi,sharp,ra,dec
40176,148962,2803.727,3444.171,23.027,0.0758,22.167,0.1250,0.3835,-1.9555,205.00518787709342,-31.639358732223176
40177,148947,3700.868,3444.222,23.288,0.0981,22.317,0.1215,0.3995,-0.7900,204.95835388616067,-31.639339517998636
40178,148936,2731.135,3444.232,23.397,0.1119,22.321,0.1354,0.3955,-0.5795,205.00897744378864,-31.639356644750762
40179,37164,3676.113,3444.240,23.505,0.1218,22.589,0.1582,0.4035,-0.2890,204.95964618594763,-31.639339415008507
40180,148944,3473.036,3444.241,21.843,0.0461,20.671,0.0439,0.4315,-2.0000,204.97024753132177,-31.639344597052453
40181,148934,2665.703,3444.282,22.826,0.0674,21.887,0.0868,0.4170,-0.5760,205.01239323233355,-31.639354888734335
40185,37100,3541.600,3444.429,22.394,0.0564,21.044,0.0499,0.4180,-2.7705,204.96666825047416,-31.639334574860666
40191,148990,1216.263,3444.678,,0.2344,22.598,0.1833,0.4575,-0.9780,205.0880592390848,-31.639324295140035
40197,148975,3502.338,3444.884,21.391,0.0275,20.322,0.0318,0.4130,-0.9255,204.9687178801928,-31.639315319241543
40198,148959,2185.469,3444.910,20.233,0.0129,19.433,0.0206,0.5485,-0.4740,205.03746319069757,-31.63932761607791
40201,148956,1821.669,3445.025,22.709,0.0683,21.708,0.0901,0.5030,-0.3005,205.05645486453744,-31.639319727318018
40203,148978,3633.393,3445.041,23.428,0.1165,22.449,0.1198,0.3585,-0.7475,204.96187634768498,-31.63930498725408
40210,148976,3609.166,3445.238,21.117,0.0163,20.029,0.0175,0.3130,-0.0825,204.96314108921374,-31.639296879257046
40217,148957,1945.925,3445.512,21.012,0.0266,20.097,0.0324,0.6110,0.0925,205.04996824784143,-31.63929934771628
40219,149002,4006.919,3445.744,22.777,0.0607,21.778,0.0711,0.3795,-1.0130,204.94237700227117,-31.639262181053887
40230,148991,2778.532,3446.468,19.882,0.0098,19.46,0.0147,0.3835,-0.5515,205.0065031714241,-31.639256872475485
40233,149014,2637.376,3446.606,22.136,0.0385,21.027,0.0405,0.3870,-0.6840,205.01387202057956,-31.639251773471038
40234,37076,2881.409,3446.644,21.532,0.0305,20.529,0.0351,0.4015,-0.0580,205.00113262667813,-31.639248029771224
40236,149015,2741.965,3446.741,22.515,0.0526,20.813,0.0328,0.3640,-0.0445,205.0084121021714,-31.639245047709988
40241,149025,3954.114,3447.064,23.825,0.1371,22.951999999999998,0.1905,0.3770,-2.1535,204.9451336598372,-31.63920532879967
40244,149026,4076.949,3447.150,23.542,0.1135,22.361,0.1291,0.4095,-1.8250,204.9387212527791,-31.639197194685714
40248,149018,3019.227,3447.383,20.892,0.0339,19.403,0.0234,0.4945,-1.3320,204.99393804806417,-31.639213465932105
40250,149024,3738.420,3447.395,22.741,0.0626,21.819,0.0845,0.4240,-1.2080,204.95639364699915,-31.639197413711077
40254,149041,3725.452,3447.937,21.51,0.0227,20.376,0.0270,0.3920,-0.5530,204.95707064013442,-31.63917370193744
40259,37125,3549.021,3448.346,22.548,0.0656,21.545,0.0724,0.4055,-1.4445,204.96628096367255,-31.639160299696194
40261,37177,2730.729,3448.455,23.383,0.1060,22.699,0.1609,0.4015,-0.4395,205.00899867721108,-31.639168959045648
40265,149052,40.862,3448.676,,0.4349,22.532,0.2882,0.5375,1.3735,205.14941904438868,-31.639103301186772
40268,149042,4044.375,3448.854,22.992,0.0744,21.907,0.0845,0.4020,-0.8400,204.94042179915283,-31.639122636118735
40277,149054,503.450,3448.953,23.076,0.0893,21.983999999999998,0.1130,0.4965,0.3185,205.12527039400703,-31.63911153529798
40279,149058,2682.377,3449.056,22.913,0.0709,22.074,0.1046,0.4210,-0.2620,205.01152282699613,-31.639142600797552
40284,149072,2694.257,3449.447,22.789,0.0672,21.773,0.0825,0.4265,-1.1420,205.01090265248456,-31.639125140925092
40287,37226,3371.973,3449.648,17.672,0.0078,16.658,0.0078,0.8120,-0.6060,204.97552351883908,-31.639106560586622
40293,149103,2714.975,3450.125,22.572,0.0572,21.388,0.0702,0.4750,-1.6815,205.00982110625304,-31.639094857250797
40297,149100,2472.715,3450.193,22.897,0.0713,21.938,0.0939,0.4275,-0.6910,205.0224679237178,-31.639093022976756
40300,149075,2751.707,3450.294,22.841,0.0653,21.757,0.0760,0.3800,-0.3990,205.007903569455,-31.63908705717755
40301,149115,3997.077,3450.310,22.651,0.0549,21.86,0.0837,0.4095,-1.2655,204.9428909751326,-31.639059590602276
40308,149114,3658.047,3450.932,22.081,0.0367,20.972,0.0434,0.3925,0.0820,204.96058951178875,-31.639042493448727
40310,37245,3791.576,3451.046,22.672,0.0567,21.643,0.0677,0.3965,0.2480,204.95361884924327,-31.639033564126173
40313,149111,3527.975,3451.251,21.6,0.0306,20.254,0.0286,0.4185,-0.2940,204.96737972247325,-31.639031714175808
40314,149142,3675.226,3451.325,23.305,0.0950,22.32,0.1247,0.3925,-0.3505,204.95969272248414,-31.639024551077878
40317,149104,2758.236,3451.346,22.872,0.0666,22.019,0.0859,0.3285,-1.2880,205.0075627433034,-31.63904024726294
40328,149143,3764.005,3451.723,22.234,0.0397,21.042,0.0403,0.3695,-0.4520,204.9550581723523,-31.63900430384938
40338,149101,2615.795,3452.069,23.032,0.0808,21.9,0.0809,0.3940,-0.6925,205.01499866042118,-31.639009094312122
40340,149144,3824.717,3452.170,22.53,0.0488,21.749,0.0749,0.3910,-0.0920,204.95188881808141,-31.63898259126303
40342,37218,2873.752,3452.299,21.938,0.0444,20.876,0.0468,0.4210,-0.3000,205.00153242145788,-31.63899678016222
40349,149140,3509.914,3452.574,21.738,0.0353,20.307,0.0288,0.3960,-0.6695,204.96832260604302,-31.638973357686556
40351,149139,3503.053,3452.628,22.594,0.0656,21.608,0.0715,0.3445,-1.3970,204.96868077492732,-31.638971124339726
40366,37228,3465.805,3453.094,21.747,0.0456,20.618,0.0436,0.4500,-0.7410,204.97062525905082,-31.638951300533286
40367,149177,3947.009,3453.205,22.971,0.0695,21.737,0.0687,0.3750,-0.6900,204.94550480812276,-31.63893263535313
40370,149176,3936.482,3453.357,23.299,0.0897,22.303,0.1133,0.3860,-0.3480,204.94605435830093,-31.638926232832123
40380,149196,3867.635,3453.809,21.524,0.0257,20.747,0.0344,0.4095,-0.1055,204.94964841644006,-31.63890839473672
40381,149188,3263.482,3453.927,17.539,0.0163,16.328,0.0131,1.7300,0.1240,204.98118722099497,-31.638918583104765
40386,149192,3536.305,3454.031,21.574,0.0295,20.597,0.0328,0.3815,-0.6035,204.96694494950077,-31.638907951817163
40388,37248,2520.335,3454.119,23.89,0.1655,23.037,0.2161,0.3830,-3.4310,205.01998200897526,-31.63891839902339
40391,149197,3875.889,3454.347,22.618,0.0546,21.531,0.0621,0.3990,-1.0935,204.94921755070146,-31.638884219117227
40393,5012559,5340.075,3454.572,19.845,0.0160,19.093,0.0193,0.4995,-1.0415,204.87278243114923,-31.638804396105705
40394,37199,2276.433,3454.598,20.006,0.0133,19.203,0.0188,0.5825,-0.3760,205.03271451959165,-31.63889729345659
40395,149218,3654.534,3454.633,22.959,0.0706,21.91,0.0852,0.3720,-1.6430,204.9607730215955,-31.638878101182915
40401,149219,3750.113,3454.986,22.376,0.0418,21.111,0.0445,0.3920,-0.9860,204.9557834944673,-31.638859693119304
40403,149220,4149.221,3455.010,23.23,0.0908,22.417,0.1375,0.4225,-1.1980,204.93494875656657,-31.638845175076415
40406,37255,3821.550,3455.208,23.44,0.1113,22.262,0.1072,0.3765,-0.1195,204.95205425664582,-31.638847667387704
40407,149208,3000.465,3455.352,21.281,0.0362,20.286,0.0341,0.3945,-0.0425,204.99491761766942,-31.63885954601089
40413,37274,386.938,3455.658,,0.1809,23.007,0.2834,0.4715,0.0500,205.1313523814675,-31.638808789320038
40414,149243,3624.978,3455.701,22.72,0.0638,22.07,0.1042,0.4025,-0.1460,204.96231597621147,-31.638831436123805
40417,149231,2770.556,3455.779,21.467,0.0287,20.095,0.0287,0.5000,0.1280,205.00691964182676,-31.63884312000877
40421,149229,1291.449,3455.870,21.668,0.0283,20.786,0.0415,0.4585,-0.1390,205.08413396191676,-31.638828644584414
40422,149240,3449.630,3455.924,21.695,0.0453,20.554,0.0437,0.4595,-0.4690,204.971469725219,-31.63882589894805
40428,37276,2901.962,3456.257,21.402,0.0314,20.343,0.0333,0.4170,-0.0915,205.0000598160514,-31.63882055456011
40429,149244,3766.927,3456.301,22.293,0.0411,21.349,0.0530,0.3855,-0.6830,204.95490579448077,-31.638800750299893
40434,149255,2594.742,3456.520,22.998,0.0736,21.876,0.0776,0.3875,-0.4980,205.01609772519308,-31.638811380438415
40436,37280,3035.687,3456.573,20.463,0.0332,19.579,0.0279,0.5080,0.2945,204.99307893202868,-31.63880478924069
40437,149234,3039.407,3456.749,19.551,0.0164,19.21,0.0197,0.4835,-0.7470,204.9928847386819,-31.63879691371772
40442,149259,3365.420,3457.031,20.895,0.0303,19.435,0.0210,0.4315,-0.8715,204.9758657927712,-31.638778567382072
40447,149254,2516.214,3457.198,22.86,0.0738,21.802,0.0889,0.4540,-0.2135,205.02019715092004,-31.638781568172732
40448,149256,2662.863,3457.205,22.911,0.0704,21.876,0.0890,0.4295,-0.3475,205.01254158734216,-31.638780551376286
40450,5012568,5002.560,3457.307,19.042,0.0121,18.267,0.0126,0.5255,-0.8035,204.89040191981988,-31.638702974795603
40454,149273,2504.089,3457.485,22.515,0.0569,21.42,0.0512,0.3875,-0.5615,205.0208301171155,-31.63876885051705
40456,37277,2926.382,3457.554,21.065,0.0264,19.396,0.0174,0.4235,0.1195,204.99878502907484,-31.63876262421722
40458,149287,3756.741,3457.825,22.558,0.0533,21.395,0.0569,0.4010,-1.1570,204.95543758981108,-31.63873331968445
40459,37287,3477.655,3457.889,22.087,0.0502,21.079,0.0539,0.3970,-1.8440,204.97000678254193,-31.638737910447094
40461,149286,3641.630,3457.997,21.8,0.0299,20.523,0.0311,0.4030,-1.0065,204.96144676039938,-31.638728942419643
40464,149277,2879.749,3458.089,22.214,0.0554,21.282,0.0610,0.3980,-0.8175,205.00121943216558,-31.638739381412066
40473,37305,2725.218,3458.782,,0.2008,23.405,0.3097,0.4045,-2.8030,205.00928646418456,-31.638710024018764
40474,149295,2632.072,3458.889,21.953,0.0390,19.826999999999998,0.0206,0.4480,-0.7890,205.01414899081217,-31.63870589299132
40479,149306,3544.613,3459.082,21.522,0.0289,19.784,0.0229,0.4355,-0.2880,204.96651139311732,-31.638683255264034
40482,149310,3955.618,3459.233,23.496,0.1147,22.591,0.1386,0.3970,-2.3215,204.94505562940387,-31.638664434067948
40484,149309,3945.106,3459.286,22.718,0.0560,20.19,0.0234,0.3830,-0.5350,204.94560439106363,-31.63866243295972
40486,149296,2656.974,3459.328,23.151,0.0770,22.032,0.1042,0.4140,-1.2565,205.01284902821388,-31.63868623296649
40494,149302,3058.574,3459.849,19.907,0.0262,18.9,0.0214,0.6560,-0.4275,204.99188421171755,-31.63865885667322
40496,149335,3746.422,3459.892,23.284,0.0915,22.481,0.1505,0.4185,-0.1265,204.9559763461451,-31.638641757457922
40500,149320,2721.561,3459.959,23.037,0.0764,22.144,0.1102,0.3620,-0.9770,205.00947738207304,-31.63865774090584
40503,149336,3784.512,3460.000,22.932,0.0662,22.375,0.1260,0.3915,0.2230,204.9539879315077,-31.638635822736678
40508,149337,3901.801,3460.101,23.265,0.0866,22.592,0.1649,0.4315,-1.5885,204.94786508009304,-31.638627646183984
40509,149321,2778.317,3460.177,21.996,0.0429,21.054,0.0500,0.4490,-0.2260,205.0065145372546,-31.63864758552787
40513,149327,3087.748,3460.363,19.832,0.0234,18.556,0.0177,0.5455,0.0690,204.99036124406274,-31.638635572144715
40523,149345,2547.425,3460.735,15.169,0.0049,14.783,0.0068,1.5625,-0.3775,205.01856784956448,-31.63862425625185
40524,149319,2587.945,3460.752,23.241,0.1006,22.454,0.1303,0.4450,-2.7850,205.01645257497862,-31.63862332452193
40526,149352,3509.432,3460.939,22.225,0.0459,21.265,0.0575,0.3735,-0.1855,204.9683480073478,-31.638601591852183
40527,149357,3778.479,3460.976,22.608,0.0464,21.904,0.0843,0.3800,-0.3655,204.95430290763034,-31.638592626775942
40529,149346,2728.383,3461.063,23.305,0.0966,22.347,0.1401,0.4210,-1.9530,205.0091212616304,-31.638608621788425
40531,37376,3628.149,3461.127,22.558,0.0615,19.815,0.0206,0.4390,-0.8400,204.9621506108815,-31.638590195618047
40533,149351,3461.789,3461.165,21.134,0.0235,19.534,0.0180,0.3970,-0.5030,204.97083512903944,-31.638592683508246
40536,149372,3196.217,3461.275,17.932,0.0207,16.887999999999998,0.0169,1.2205,0.2400,204.98469883305143,-31.63859324400399
40541,37403,3117.500,3461.770,20.092,0.0297,18.448,0.0204,0.6405,-0.0355,204.98880812057197,-31.638572571398424
40546,37394,3488.248,3461.883,21.735,0.0426,20.697,0.0418,0.4420,-0.9980,204.9694539057186,-31.63856014742561
40550,149385,3813.277,3462.159,22.853,0.0638,21.844,0.0763,0.3890,0.1775,204.95248638585306,-31.63853898991294
40554,37350,2868.525,3462.295,21.048,0.0209,19.971,0.0231,0.4005,0.1850,205.00180541485042,-31.63855256996239
40559,149365,512.052,3462.583,22.362,0.0587,21.491,0.0710,0.5075,-0.3700,205.12482071112677,-31.63850609737947
40560,149384,3645.383,3462.584,21.628,0.0259,20.264,0.0270,0.4090,-1.0075,204.96125098846818,-31.638524973810352
40564,149386,4565.020,3462.920,18.525,0.0120,17.698,0.0115,0.7325,-0.8175,204.91324315412683,-31.63847600757821
40569,149403,3654.104,3463.107,23.044,0.0781,22.253,0.1126,0.3555,-0.9760,204.9607957420023,-31.638501491016466
40574,149466,2608.451,3463.427,23.334,0.0962,22.528,0.1278,0.3355,0.2570,205.0153821120475,-31.6385043331885
40579,149444,39.120,3463.641,,0.2880,22.57,0.4836,0.5550,4.0980,205.1495091148079,-31.638438105607715
40580,149418,3545.355,3463.756,21.577,0.0314,20.073,0.0282,0.4580,-0.3800,204.96647279622462,-31.638475503421844
40583,149414,2955.227,3464.058,21.672,0.0407,20.269,0.0314,0.3835,-0.9025,204.99727932122963,-31.638473203562107
40588,37492,3090.769,3464.281,18.806,0.0139,17.705,0.0107,0.5915,-0.0820,204.9902036093004,-31.63846139224519
40593,149430,2831.615,3464.482,22.51,0.0584,21.733,0.0825,0.3980,0.2855,205.00373225971128,-31.63845575184656
40603,149432,2930.956,3464.868,21.959,0.0409,21.017,0.0487,0.3330,0.1850,204.99854635486255,-31.638437502634215
40607,37405,3523.315,3465.120,23.583,0.1239,22.611,0.2229,0.3115,-5.1775,204.96762339186336,-31.63841542960795
40609,149427,1747.052,3465.174,21.6,0.0297,20.125,0.0280,0.4975,-0.4075,205.0603498312232,-31.63842329918899
40614,149446,2080.878,3465.563,22.165,0.0492,21.341,0.0766,0.5520,-0.5945,205.04292307407755,-31.63840919438265
40615,149447,2678.867,3465.650,21.988,0.0347,20.9,0.0467,0.4650,-0.5285,205.01170619211135,-31.638405113399315
40620,37355,3406.364,3465.951,21.299,0.0337,20.114,0.0314,0.4240,-1.1285,204.97372861413476,-31.638381233486538
40622,149458,3633.737,3465.993,22.621,0.0537,21.692,0.0739,0.3685,-1.1555,204.9618590539752,-31.638373778594495
40629,149448,2723.183,3466.411,20.581,0.0146,19.809,0.0198,0.4360,0.1330,205.00939276640023,-31.63837097298424
40631,149465,2596.165,3466.512,22.961,0.0722,21.64,0.0681,0.4055,-1.9515,205.01602349798534,-31.638367284533597
40636,149467,2670.583,3466.830,21.857,0.0310,20.791,0.0348,0.3910,0.0820,205.01213865164829,-31.63835272380935
40639,37457,2609.654,3467.072,22.69,0.0665,21.725,0.0707,0.4185,-0.4140,205.01531933408168,-31.638342326905278
40641,149479,4014.384,3467.163,23.05,0.0710,22.047,0.1031,0.4155,-1.5425,204.94198818581285,-31.638309965304778
40645,149477,3913.722,3467.321,22.91,0.0626,21.721,0.0771,0.4065,-0.5685,204.94724304582485,-31.638306366449928
40650,5012593,5891.751,3467.466,20.452,0.0202,19.822,0.0287,0.4665,-0.9405,204.84398446773082,-31.638193213198022
40651,149480,4112.847,3467.470,23.001,0.0757,22.2,0.1118,0.4165,-0.9480,204.93684814101928,-31.638292764069824
40658,149499,3463.336,3467.984,21.708,0.0339,20.56,0.0325,0.3485,-0.2055,204.97075455795658,-31.638289580861834
40659,149492,2771.121,3468.068,22.386,0.0471,21.595,0.0653,0.3700,-0.2775,205.00689027207702,-31.638296937374577
40662,149489,2033.872,3468.181,19.515,0.0092,18.724,0.0151,0.5845,-0.1110,205.04537691161025,-31.63829253367373
40665,149515,2694.980,3468.518,23.236,0.0976,22.142,0.1164,0.4040,-0.8140,205.01086506732136,-31.63827753587161
40672,149490,2641.645,3468.847,23.971,0.1657,23.047,0.2066,0.4005,-1.0280,205.0136493181436,-31.638263259540107
40674,149520,2895.104,3468.925,21.267,0.0358,19.912,0.0278,0.5190,-0.2985,205.00041799464964,-31.638257610418947
40677,37500,3607.791,3469.124,22.901,0.0793,21.858,0.0752,0.3785,-0.1790,204.96321361096278,-31.638235316318553
40679,149539,1720.025,3469.175,23.715,0.1433,22.86,0.2306,0.5050,-1.2805,205.0617606601926,-31.63824511562857
40680,149530,3634.597,3469.175,22.557,0.0504,21.613,0.0744,0.3840,-0.1300,204.96181426032973,-31.63823233324623
40683,149514,1996.724,3469.313,22.717,0.0711,21.526,0.0842,0.5195,-0.1535,205.04731613964262,-31.638241948203273
40691,149531,3678.128,3469.670,21.516,0.0232,20.13,0.0232,0.3945,-0.4495,204.9595418302239,-31.638209137350277
40695,149551,3559.656,3469.767,22.98,0.0810,21.943,0.1094,0.4015,-2.9735,204.96572641930527,-31.638207986684378
40698,149541,2585.954,3469.948,21.575,0.0284,20.475,0.0305,0.4415,-0.8605,205.01655656275474,-31.638214622891
40700,149540,2350.049,3469.987,22.838,0.0682,21.918,0.0967,0.4605,0.1060,205.02887151060222,-31.638213415711842
40702,149554,3998.204,3470.042,23.118,0.0804,22.344,0.1127,0.3825,-0.0585,204.94283294699824,-31.63818257466591
40706,149574,3658.814,3470.479,22.925,0.0728,21.662,0.0688,0.3590,-0.4280,204.96055010377282,-31.638173717393606
40707,149550,3520.527,3470.574,21.438,0.0317,19.914,0.0222,0.4180,-1.2460,204.96776909151123,-31.638173098375617
40709,149572,3571.246,3470.635,23.373,0.1022,22.221,0.1217,0.3870,-3.2650,204.96512141341054,-31.638169112903444
40711,149570,3448.181,3470.710,21.818,0.0375,19.637,0.0210,0.4375,-1.3210,204.97154576814492,-31.63816877713783
40713,37498,3480.361,3470.808,21.932,0.0440,20.89,0.0481,0.4015,-0.3225,204.96986588073506,-31.63816366881937
40715,149542,2775.966,3470.813,22.902,0.0750,22.082,0.0984,0.3670,-0.2235,205.00663737664846,-31.638174895132604
40720,149575,3781.341,3470.984,22.869,0.0704,21.87,0.0868,0.4255,-1.3865,204.95415385643267,-31.638147741009213
40726,149573,3598.479,3471.225,21.074,0.0184,19.238,0.0141,0.4005,-0.3725,204.96369978960797,-31.638142183897088
40730,149591,2730.736,3471.503,22.993,0.0777,21.98,0.0887,0.3800,-0.8040,205.00899852326103,-31.638144603493856
40732,37489,1993.736,3471.533,,0.3400,23.251,0.4709,0.4575,-1.2750,205.04747210177382,-31.63814325820036
40735,37509,2927.575,3471.793,21.625,0.0355,20.522,0.0337,0.3515,0.2455,204.99872295112706,-31.63812976556524
40736,149601,4185.175,3471.901,22.549,0.0652,21.792,0.0901,0.4865,-1.8150,204.9330726096297,-31.638093087088276
40740,149600,3578.656,3472.162,23.109,0.0870,22.15,0.0867,0.3640,-1.5115,204.96473463611733,-31.63810105552063
40742,37470,3552.898,3472.419,22.431,0.0597,21.519,0.0655,0.3905,-1.4425,204.96607928550773,-31.63809029138005
40744,149597,3491.734,3472.457,21.639,0.0365,20.459,0.0367,0.4120,-1.7515,204.9692722233556,-31.63809010866775
40745,149592,2750.760,3472.521,22.754,0.0646,21.782,0.0826,0.4105,0.1370,205.0079532211978,-31.638099198383273
40753,149619,2996.807,3472.825,20.971,0.0295,19.268,0.0169,0.4000,0.1640,204.99510885382037,-31.638083017753964
40754,149615,2700.799,3472.842,22.986,0.0851,22.138,0.1075,0.4330,-1.5570,205.01056133434636,-31.63808531670979
40756,149610,711.984,3472.907,22.395,0.0524,21.303,0.0624,0.4850,-0.4795,205.1143832260832,-31.638054689612197
40759,149628,3586.221,3472.993,22.58,0.0618,21.621,0.0785,0.4225,0.0790,204.96433974671234,-31.63806392625956
40762,149612,2439.043,3473.082,21.319,0.0226,19.855,0.0220,0.4570,-0.2530,205.02422576304755,-31.63807580052399
40765,5012607,5003.417,3473.186,17.137,0.0108,16.631999999999998,0.0097,0.9765,-0.9330,204.89035822795617,-31.63799719544692
40768,149614,2645.763,3473.381,23.213,0.0861,22.233999999999998,0.1233,0.4255,-0.5145,205.01343437809075,-31.638061723882334
40770,37537,3628.478,3473.413,22.999,0.0761,22.13,0.1118,0.3935,-0.9545,204.9621338239733,-31.638044142694643
40774,149643,3529.778,3473.688,22.571,0.0601,21.704,0.0791,0.3805,-0.2020,204.96728625292607,-31.6380344700882
40776,149639,2915.903,3473.770,21.448,0.0302,19.918,0.0253,0.4065,0.0185,204.99933229108683,-31.63804203743645
40782,149644,3634.953,3474.139,23.141,0.0817,22.129,0.1050,0.3755,0.2925,204.96179583361925,-31.638011701555474
40795,149653,2352.949,3474.989,21.652,0.0298,20.231,0.0298,0.4850,-0.3455,205.02872012065922,-31.63799110530954
40803,149654,2757.217,3475.173,22.313,0.0473,21.238,0.0501,0.3870,-0.9445,205.0076161729882,-31.63798127809869
40812,149687,3448.192,3475.696,21.395,0.0309,19.46,0.0182,0.4075,-0.5040,204.97154532891525,-31.637947176992952
40816,149679,2922.302,3475.896,20.86,0.0237,19.36,0.0168,0.4190,-0.3740,204.99899827447297,-31.63794747297348
40817,37558,3684.085,3475.914,21.856,0.0315,20.653,0.0358,0.3975,-0.3075,204.9592310631925,-31.637931459655285
40823,149674,2736.056,3476.192,22.825,0.0690,22.047,0.0955,0.3910,-1.6505,205.0087208472,-31.6379361616503
40824,37568,2719.862,3476.274,,0.4203,22.974,0.2158,0.3740,-6.2985,205.00956622064805,-31.637932642743657
40825,149721,3841.375,3476.282,23.242,0.0973,22.407,0.1128,0.3835,-0.5790,204.95102010414203,-31.637910427620398
40826,149689,3618.477,3476.378,21.427,0.0237,20.277,0.0244,0.3875,0.1935,204.96265599747224,-31.637912632769417
40827,37552,3329.940,3476.381,20.196,0.0205,19.017,0.0148,0.4245,-0.1775,204.97771843188877,-31.637919309827147
40831,149677,2828.855,3476.487,18.534,0.0117,17.714,0.0122,0.8345,-0.6950,205.00387647987304,-31.637922223732165
40843,37545,2627.708,3477.193,23.191,0.0887,22.841,0.1934,0.4085,-1.7405,205.0143769267743,-31.637892406645285
40846,149703,2472.701,3477.246,22.78,0.0698,21.685,0.0742,0.4300,-0.0205,205.02246872861468,-31.637890667461175
40847,149701,2447.775,3477.268,21.27,0.0255,20.207,0.0281,0.4690,-0.1615,205.02376993601675,-31.637889741166358
40849,149704,2520.539,3477.269,22.93,0.0814,21.772,0.0804,0.4410,-1.9730,205.01997145048023,-31.637889509464106
40851,149736,3678.497,3477.406,23.48,0.0979,22.079,0.0998,0.3720,-1.4200,204.95952282125853,-31.63786530506615
40852,149737,3718.725,3477.452,23.101,0.0787,22.208,0.1150,0.4120,-1.5545,204.9574228112447,-31.63786211936904
40858,5012616,5367.709,3477.731,21.609,0.0435,20.843,0.0514,0.4520,-0.9650,204.871341589862,-31.63777335544717
40871,149764,3782.164,3478.218,23.353,0.0915,22.414,0.1244,0.3755,-0.6960,204.95411114960848,-31.6378262053655
40874,37628,3628.005,3478.252,22.335,0.0485,21.308,0.0521,0.3865,-0.1055,204.9621586686491,-31.637829088883148
40881,5012621,5341.562,3478.376,19.77,0.0148,19.004,0.0174,0.4700,-0.9995,204.87270657434172,-31.637746350389047
40885,149735,3663.377,3478.522,22.19,0.0402,21.04,0.0449,0.4045,-1.4870,204.96031216284834,-31.63781612516231
40889,149749,2767.478,3478.587,22.603,0.0616,21.598,0.0737,0.4175,-1.2135,205.00708055389808,-31.637829457736302
40891,149765,4080.243,3478.667,,0.1607,22.397,0.1403,0.3940,-2.9955,204.93855064505598,-31.637796320803783
40892,149752,2928.478,3478.674,21.223,0.0319,20.18,0.0319,0.4230,-0.5350,204.99867590895926,-31.63782393254648
40900,149762,3645.727,3479.065,22.838,0.0629,21.807,0.0731,0.3610,-0.2925,204.96123355807325,-31.63779247605109
40902,149750,2865.518,3479.101,21.561,0.0266,20.526,0.0335,0.3660,-0.5400,205.00196260052107,-31.637805668901958
40903,149763,3777.451,3479.114,23.158,0.0826,22.295,0.1177,0.4000,-0.8080,204.9543572125722,-31.637786525010817
40908,149754,3049.503,3479.436,20.449,0.0342,19.287,0.0241,0.5615,0.0890,204.99235808270387,-31.63778845666266
40909,149776,2636.718,3479.443,23.234,0.0931,22.007,0.0907,0.4175,-0.8875,205.0139065947941,-31.637792355126237
40914,37607,3515.693,3479.932,21.983,0.0479,20.933,0.0486,0.4480,-0.1685,204.96802170958432,-31.63775730610134
40915,37634,2924.845,3480.033,21.361,0.0372,20.313,0.0375,0.4425,-0.0005,204.99886558065754,-31.637763576051334
40916,149783,3036.605,3480.039,20.709,0.0304,19.321,0.0232,0.4750,-0.6895,204.99303140378254,-31.637761842978886
40918,149775,2627.491,3480.089,23.178,0.0901,22.306,0.1267,0.3805,-0.4815,205.01438827389612,-31.637763696757787
40919,149773,1777.684,3480.132,20.411,0.0154,19.538,0.0216,0.5540,-0.1640,205.05875052739995,-31.637758890096357
40920,149777,2698.999,3480.136,22.171,0.0403,21.105,0.0493,0.4260,-0.3565,205.01065536075072,-31.63776115182881
40922,149803,2991.769,3480.236,21.309,0.0379,20.259,0.0353,0.4070,-0.2600,204.99537196833612,-31.63775370758681
40925,149772,1452.500,3480.373,23.04,0.0855,21.911,0.1098,0.4920,0.0210,205.07572601068406,-31.637743013043796
40926,149778,2723.246,3480.459,22.443,0.0529,21.173,0.0522,0.4295,-1.7810,205.0093896038753,-31.637746616981303
40927,149788,3811.909,3480.485,20.91,0.0164,19.794,0.0190,0.4225,0.0045,204.9525584622041,-31.63772454385786
40932,37632,2710.675,3480.650,22.317,0.0391,21.309,0.0539,0.3715,-0.6435,205.01004584604306,-31.63773822260706
40946,149799,2707.197,3481.174,22.566,0.0481,21.886,0.0853,0.3685,-0.2580,205.01022741162012,-31.63771495927564
40948,37665,2752.900,3481.279,22.929,0.0806,22.282,0.1204,0.3995,-1.4745,205.0078415921356,-31.63770993628942
40950,149672,2488.638,3481.331,22.638,0.0640,21.616,0.0674,0.4225,-0.3595,205.0216367851676,-31.637709072073957
40951,37610,3743.909,3481.563,,0.2494,22.968,0.1823,0.4325,-4.8150,204.95610827936764,-31.63767867644632
40952,149825,2830.574,3481.779,19.001,0.0126,18.081,0.0136,0.7710,-0.6275,205.0037868049556,-31.63768700671269
40954,149831,3430.102,3481.997,21.334,0.0365,19.961,0.0283,0.4665,-0.2205,204.97248984539266,-31.637667546191125
40956,149827,2935.990,3482.085,21.5,0.0393,19.983,0.0234,0.3900,0.0885,204.99828381055147,-31.63767224173939
40967,37680,2403.486,3482.584,21.45,0.0272,20.11,0.0244,0.4545,0.2790,205.02608195182648,-31.637653533419513
40972,149844,3884.529,3482.968,23.271,0.0944,22.441,0.1192,0.3965,-1.4045,204.9487676008552,-31.637611897444902
40983,149845,4168.716,3483.664,22.472,0.0526,21.249,0.0522,0.4300,-0.0255,204.93393234557522,-31.637570921966027
