,ID,X,Y,J,J_err,K,K_err,chi,sharp,ra,dec
25348,133248,2916.080,2711.561,23.424,0.1104,22.683,0.1620,0.4150,0.1375,204.9993125290519,-31.671917983420244
25350,133247,1048.628,2711.882,21.593,0.0284,20.809,0.0471,0.5090,-0.5030,205.09683442393646,-31.671888597790122
25352,133260,4260.124,2711.941,23.132,0.0934,22.372,0.1507,0.4820,-1.1345,204.92912407663832,-31.67186607287656
25356,26934,3715.025,2712.142,23.125,0.0788,22.252,0.1229,0.4050,-0.1625,204.95759013505537,-31.67187597455594
25357,133259,4095.527,2712.154,22.613,0.0580,21.663,0.0668,0.3985,-1.6900,204.93771963315874,-31.671862959639355
25359,26935,3851.219,2712.230,23.862,0.1586,23.232,0.2036,0.3855,-3.2625,204.95047783919634,-31.671867949732093
25361,133255,3775.093,2712.291,22.613,0.0495,21.714,0.0786,0.4000,-0.1415,204.9544532794899,-31.67186758662607
25362,133252,3684.512,2712.337,21.365,0.0218,19.518,0.0163,0.4135,-0.7175,204.95918358631855,-31.671868175443265
25365,133257,3840.135,2712.463,22.795,0.0638,21.856,0.0861,0.4235,0.0750,204.95105667437875,-31.671857943726543
25368,133254,3769.947,2712.645,22.311,0.0412,21.349,0.0551,0.3975,-0.3935,204.95472202542126,-31.671852007584068
25369,133250,3227.002,2712.661,23.833,0.1564,22.523,0.1556,0.4085,-1.8775,204.9830756138955,-31.671864408927227
25371,133270,2743.744,2712.750,23.249,0.0913,22.089,0.0999,0.4005,-1.0085,205.0083122565968,-31.671866850440647
25372,133271,2779.361,2712.825,22.772,0.0538,21.904,0.0836,0.3495,-1.1935,205.00645227033073,-31.67186321518702
25376,133272,3331.078,2713.301,22.918,0.0655,21.904,0.0849,0.3920,-0.7340,204.97764058681582,-31.67183393674501
25377,133273,3725.395,2713.446,22.308,0.0457,21.378,0.0582,0.4185,0.2140,204.95704863901756,-31.671817719714316
25379,133275,3761.468,2713.563,22.615,0.0563,21.84,0.0883,0.4300,-0.6885,204.95516484623587,-31.67181146059557
25380,133290,4122.334,2713.657,23.346,0.1079,22.595,0.1692,0.4540,-2.3315,204.93631978994708,-31.67179516428143
25385,26944,3700.029,2714.005,23.585,0.1241,22.561,0.1679,0.3995,-1.2015,204.95837331586299,-31.671793603482993
25386,133287,3112.829,2714.208,22.056,0.0347,20.334,0.0276,0.4250,-0.1345,204.98903797048354,-31.671797612896047
25388,133298,3002.244,2714.404,23.115,0.0791,21.842,0.0805,0.3970,-0.0280,204.99481292570323,-31.671790535372217
25390,133303,3795.043,2714.677,23.299,0.0915,22.43,0.1268,0.3810,-1.8530,204.9534115394891,-31.67176093889183
25391,133299,3429.089,2714.816,22.745,0.0615,21.858999999999998,0.0800,0.3960,-0.7275,204.97252231258562,-31.671764483239347
25392,133305,4209.249,2714.827,21.635,0.0354,20.423,0.0369,0.5270,-1.1615,204.93178099196416,-31.67173983172311
25394,133302,3784.666,2715.140,22.244,0.0398,21.306,0.0528,0.3820,-0.1280,204.9539534611296,-31.671740676057638
25398,133304,3857.085,2715.310,21.041,0.0164,19.796,0.0184,0.3855,-0.4255,204.9501716209416,-31.671730874967757
25401,26968,3928.259,2715.580,22.81,0.0686,22.014,0.0913,0.4010,-1.1340,204.94645480200046,-31.671716559359798
25406,133314,3599.988,2715.862,22.982,0.0696,22.094,0.1138,0.4025,-1.1355,204.96359769364963,-31.671713808703466
25411,5010210,6106.761,2716.287,19.523,0.0181,18.65,0.0163,0.5815,-1.3215,204.83269021914077,-31.671562142224026
25414,26976,3993.738,2716.586,,0.1677,22.805,0.2012,0.4235,-1.8905,204.94303541727606,-31.671669622817497
25417,133338,3914.684,2716.750,23.971,0.1641,22.762,0.1933,0.3400,-2.1590,204.9471637571873,-31.671665009400662
25418,133330,3169.592,2717.050,23.007,0.0833,21.874,0.0862,0.4345,-0.8515,204.98607375976175,-31.67167036232329
25422,133336,3702.946,2717.490,21.635,0.0256,20.511,0.0277,0.3775,-0.4480,204.95822110150573,-31.671638631713506
25423,26967,3586.781,2717.491,23.395,0.1061,22.152,0.1012,0.3490,-0.8635,204.96428743612074,-31.67164175438568
25425,133331,3259.568,2717.558,23.068,0.0816,21.863,0.0771,0.3915,-0.9255,204.9813750662586,-31.67164615488912
25431,133337,3868.932,2717.811,23.067,0.0755,22.264,0.1080,0.4000,-0.5600,204.94955304408688,-31.671619341586062
25432,133350,3581.331,2717.866,22.053,0.0361,20.89,0.0345,0.3670,-0.4345,204.96457205586714,-31.671625229274227
25433,133354,4000.547,2717.894,23.102,0.0705,22.224,0.1059,0.3805,-0.2445,204.94267989330388,-31.671611252908615
25434,133351,3636.294,2717.900,22.802,0.0659,21.676,0.0704,0.3925,-0.9310,204.96170179556725,-31.671622261800895
25435,133333,3404.450,2717.936,22.977,0.0745,21.997,0.1032,0.4315,-0.9890,204.97380908656976,-31.671626368903965
25437,133348,3240.791,2717.954,22.675,0.0550,21.949,0.0786,0.3635,-0.0260,204.98235564259508,-31.671628909211307
25439,133356,4205.296,2718.136,22.754,0.0684,21.58,0.0810,0.4675,-0.5465,204.93198757654648,-31.67159292036778
25440,133352,3725.396,2718.180,22.976,0.0786,22.137,0.1089,0.4165,0.2280,204.95704874783397,-31.671607319910517
25441,133334,3553.333,2718.219,22.552,0.0524,21.778,0.0815,0.3915,-0.2425,204.96603416968162,-31.671610257565774
25445,133355,4057.023,2718.426,23.256,0.0935,22.382,0.1279,0.4025,0.1220,204.93973064602633,-31.67158560758252
25447,133370,3849.931,2718.564,21.402,0.0184,19.898,0.0183,0.3620,-0.1620,204.95054533605372,-31.6715864797155
25448,26998,3598.955,2718.574,23.094,0.0808,21.942,0.1007,0.4040,-0.9870,204.96365172241306,-31.671593302648986
25450,133347,2971.181,2718.843,22.406,0.0458,21.55,0.0652,0.4105,-0.3680,204.99643516007893,-31.67159365864897
25451,133365,2803.837,2718.897,22.988,0.0723,22.182,0.1103,0.3790,0.0660,205.00517415426592,-31.67159312550082
25454,133368,3744.865,2719.278,21.53,0.0250,20.031,0.0235,0.4385,-0.3990,204.9560320818435,-31.671557951784397
25457,26975,3595.825,2719.569,23.379,0.1039,22.812,0.1720,0.3785,-0.2805,204.9638152069155,-31.67154916264341
25458,133386,4171.201,2719.741,21.423,0.0235,20.137,0.0307,0.4970,-0.4030,204.9337681450614,-31.671522910757567
25459,133366,3458.033,2719.767,22.75,0.0614,21.746,0.0803,0.4155,0.2915,204.97101094033792,-31.671543773762746
25460,133384,3770.109,2719.808,22.296,0.0397,21.039,0.0448,0.3910,-0.8770,204.95471381715075,-31.67153364753743
25461,133385,3929.387,2719.963,21.799,0.0281,20.697,0.0336,0.3945,-0.2550,204.9463960673229,-31.67152172204985
25464,133383,3236.510,2720.143,23.5,0.1085,22.819,0.1911,0.4055,-2.1575,204.9825792515788,-31.67153170011236
25465,133382,3195.091,2720.301,22.253,0.0411,21.216,0.0549,0.4305,-0.0635,204.98474222464424,-31.671525429157974
25466,133381,3117.298,2720.312,22.764,0.0548,21.718,0.0840,0.4285,-0.2600,204.98880470606204,-31.67152625266722
25467,133400,2950.301,2720.359,23.147,0.0809,22.836,0.2085,0.4315,-0.2115,204.99752557201066,-31.67152654635528
25469,133387,4347.532,2720.460,22.065,0.0446,20.902,0.0557,0.5460,-0.4275,204.92455989974715,-31.671483843204626
