,ID,X,Y,J,J_err,H,H_err,K,K_err,chi,sharp,ra,dec
2275,5002226,2751.760,181.658,22.521,0.0324,,,20.652,0.0230,0.4620,-0.9190,49.52127689477774,-66.59604558957783
2283,5002234,2748.138,182.286,22.543,0.0342,,,21.953,0.0659,0.4650,-0.3250,49.521682191442125,-66.59601774202133
2288,5002239,4232.497,183.249,21.186999999999998,0.0154,,,19.325,0.0128,0.6180,0.2300,49.35559695804137,-66.59586140091758
2289,5002240,-321.268,183.284,20.935000000000002,0.0138,,,20.149,0.0209,0.6140,-0.0030,49.86511691822853,-66.59565150687072
2290,5002241,1787.714,183.315,21.637,0.0177,,,20.4,0.0203,0.4940,-0.1960,49.62914468312471,-66.59595196006444
2297,5002247,2388.245,183.811,22.461999999999996,0.0306,,,21.216,0.0375,0.4795,0.2095,49.561950897407975,-66.59595105929833
2300,5002249,2416.645,184.334,22.332,0.0284,,,21.543,0.0466,0.4805,-0.1605,49.55877319288553,-66.59592810348143
2301,5002250,1638.646,184.440,21.136000000000003,0.0139,,,19.958,0.0171,0.5635,0.2570,49.64582376137869,-66.5958922616571
2306,5002253,2912.027,185.369,22.206000000000003,0.0251,,,20.845,0.0273,0.4695,0.0705,49.50334474641019,-66.59587680295415
2307,5002254,4933.517,185.477,19.606,0.0057,,,18.799,0.0087,0.5855,0.2855,49.27716168157173,-66.59564774502456
2308,5002255,2016.376,185.526,21.07,0.0108,,,19.722,0.0120,0.4595,0.2915,49.603559344978216,-66.59586513108445
2327,5002269,2550.027,187.447,21.622999999999998,0.0164,,,20.32,0.0187,0.4770,-0.2275,49.543849028485134,-66.59579024416952
2328,5002270,1899.441,187.754,23.039,0.0512,,,21.919,0.0673,0.4850,-0.2220,49.61664293341165,-66.59576078072624
2332,5002272,2566.462,188.471,21.948999999999998,0.0219,,,20.791999999999998,0.0262,0.4730,-0.2885,49.542010126049156,-66.59574469623982
2337,5002277,3329.597,189.677,21.153999999999996,0.0124,,,19.438,0.0101,0.4660,0.1720,49.45662347681254,-66.59566568649002
2352,5002288,2621.553,191.266,21.729,0.0180,,,20.56,0.0216,0.4720,0.0695,49.53584606420161,-66.59562019357207
2354,5002290,2876.812,191.350,21.694000000000003,0.0162,,,20.496,0.0209,0.4295,-0.0245,49.507285376266196,-66.5956120038851
2359,5002293,3233.363,191.684,21.692999999999998,0.0167,,,20.796,0.0251,0.4430,-0.2150,49.467391302653866,-66.595582247123
2364,5002297,2776.213,192.531,22.061999999999998,0.0235,,,20.747,0.0239,0.4530,-0.4410,49.518541360523486,-66.59556189109458
2367,5002298,2233.001,192.750,22.659,0.0377,,,21.435,0.0452,0.5105,-0.6250,49.57932070536573,-66.59555105910341
2373,5002304,2433.677,193.181,22.081000000000003,0.0230,,,20.467,0.0199,0.4590,0.1820,49.556867303425555,-66.59553504706201
2377,5002307,2873.766,193.471,22.164,0.0254,,,20.916999999999998,0.0298,0.4415,-0.1545,49.507626336345794,-66.59551782133443
2379,5002309,1962.027,193.518,22.488,0.0326,,,21.568,0.0489,0.4795,0.2690,49.60963955185453,-66.59550759138314
2388,5002316,2420.382,194.707,20.665999999999997,0.0077,,,19.379,0.0088,0.4220,0.2155,49.55835483032344,-66.59546711603029
