,ID,X,Y,J,J_err,H,H_err,K,K_err,chi,sharp,ra,dec,rgc
9000,5003120,245.546,944.074,,,23.43,0.4325,22.232,0.4555,1.6225,1.1935,150.86661654314213,-26.253469567746922,12.586729040067524
9001,5003121,1437.617,944.231,,,22.765,0.3255,22.828000000000003,0.2725,1.8355,-2.2680,150.8075420011765,-26.2534921724117,12.727668773595509
9002,5003122,619.362,944.339,,,22.796,0.3461,22.354,0.3674,1.9310,-1.0290,150.8480916420868,-26.25346966719318,12.616951083700242
9011,5003124,569.149,945.697,,,23.918,0.2058,22.601999999999997,0.4497,1.7330,-3.6745,150.85057996293787,-26.253407854673895,12.604043137945778
9019,5003126,2043.520,946.294,,,22.605999999999998,0.2751,22.563000000000002,0.3792,1.8870,-1.6070,150.77751568442224,-26.253406257883398,12.832161699956544
9025,5003128,4186.459,946.840,,,22.13,0.1524,21.584000000000003,0.2703,1.7540,2.4270,150.67131972960465,-26.253352330825823,13.467312702597837
9031,5003129,206.900,947.531,,,23.564,0.3327,22.348999999999997,0.6904,1.8025,-0.1300,150.8685315533724,-26.25331456071505,12.563922890133854
9039,5003131,4348.959,948.853,,,24.029999999999998,0.4839,20.892000000000003,0.2624,1.9945,0.6750,150.6632669390598,-26.253257430349713,13.517523718971836
9041,5003132,1668.792,949.075,,,22.576,0.2243,22.741,0.5548,1.7945,-3.0450,150.7960857691358,-26.253279823873516,12.740155015107947
9045,5003133,666.715,949.968,,,23.058,0.2922,23.147,0.7408,1.6125,-0.7020,150.84574483351687,-26.253220825570907,12.588790438951943
9051,5003134,820.495,950.429,,,22.872999999999998,0.2646,22.351,0.3941,1.6385,-1.9135,150.8381240823933,-26.253204409126784,12.60311469105047
9061,5003137,2021.199,951.662,,,23.298,0.2943,22.683999999999997,0.3568,1.6375,-2.7790,150.77862180143322,-26.253167579037278,12.795713755961115
9065,5003138,1924.022,952.320,,,23.279999999999998,0.2615,22.476999999999997,0.3495,1.6135,0.2625,150.78343751586627,-26.253137792078796,12.77132061212126
9068,5003139,1414.223,952.760,,,23.238,0.2809,22.272,0.3417,1.5275,0.7665,150.80870117789735,-26.253112759164487,12.67352654327597
9069,5003140,310.630,952.770,,,24.189999999999998,0.8166,21.647,0.2319,1.5895,-0.7970,150.86339090333044,-26.253085319598473,12.540574086533642
9079,5003142,521.667,953.952,,,24.139,0.3866,21.518,0.2587,1.5395,-2.5600,150.85293271132127,-26.253039550147353,12.551197012906941
9084,5003145,1129.859,954.949,,,23.291999999999998,0.2867,22.903,0.5856,1.5105,-1.7885,150.82279310184083,-26.253010495404943,12.616736603204451
9091,5003146,2033.861,955.780,,,23.244,0.3693,22.646,0.4046,1.7755,-0.5310,150.77799430052343,-26.252984616375848,12.774177582120679
9092,5001712,1884.356,956.076,,0.2421,,,23.180999999999997,0.6508,1.2655,-1.4515,150.78540318045404,-26.252970591735725,12.741028639663499
9099,5003147,154.745,956.926,,,23.522,0.4973,22.310000000000002,0.4047,1.7740,1.0010,150.87111576976224,-26.252895127172803,12.505768869231298
9101,5003148,2007.666,957.229,,,23.598,0.4210,22.707,0.4539,1.5205,-1.9980,150.77929241414193,-26.252920091795193,12.760008162800428
9103,5003150,875.263,957.634,,,23.572,0.3402,22.168999999999997,0.3573,1.6220,-2.8005,150.83540979932644,-26.252885541573026,12.567328033781749
9104,5001714,-22.058,957.702,,0.3408,23.410999999999998,0.4171,,,0.4570,2.2725,150.87987736414826,-26.252853920479254,12.4918276230524
9105,5003151,1699.769,957.831,,,23.275,0.3186,22.982999999999997,0.8869,1.6265,5.9810,150.7945505672959,-26.2528909946551,12.694383739890899
9106,5003152,1596.669,958.212,,,23.547,0.3893,22.177999999999997,0.2374,1.4385,0.3060,150.79965978926242,-26.252872917015868,12.67305994207771
9112,14688,35.497,959.329,,0.5818,,,21.055999999999997,0.3561,1.7330,2.3085,150.87702510722056,-26.252783855042836,12.485118007680956
9119,5003155,1148.107,960.275,,,23.406,0.2421,22.891,0.8622,1.8580,1.0775,150.82188868701436,-26.252774145838732,12.588017529235922
9125,5003157,4153.601,960.953,,,23.730999999999998,0.4047,22.106,0.4092,1.7590,-1.5170,150.6729485386054,-26.25272613376022,13.373160456134347
9127,166110,1736.013,961.149,20.149,0.0138,19.615,0.0238,19.491,0.0409,1.2910,-0.5050,150.79275442290478,-26.252743887906657,12.681742909592158
9128,5003158,140.058,961.638,,,23.357,0.3186,21.898000000000003,0.3958,1.9920,0.3590,150.8718434048848,-26.25268516826631,12.47738934682049
9132,5003160,1294.385,962.031,,,23.581,0.5804,22.78,0.2526,1.8825,-0.8435,150.8146397069595,-26.2526987873169,12.59963161734279
9151,5003165,2175.654,963.404,,,23.877,0.3847,22.081000000000003,0.3280,1.7665,-0.0445,150.77096757631895,-26.252646246322264,12.760691266212374
9158,5003167,1416.690,964.623,,,23.5,0.3807,22.005000000000003,0.4064,1.7390,-0.0305,150.8085787248413,-26.252585553964106,12.604069344459651
9163,5003168,2312.057,965.273,,,22.855999999999998,0.2814,21.719,0.4392,1.7440,1.3085,150.76420799731864,-26.252563312496584,12.78142866146357
9166,14714,391.793,965.421,,0.2724,22.992,0.2894,22.043999999999997,0.3045,1.4123,0.3957,150.85936833325263,-26.252525746617586,12.472854506112288
9179,5003170,3746.151,967.342,,,22.891,0.3372,22.277,0.3071,1.8640,0.5410,150.69314025989794,-26.252453602977315,13.189318448518502
9184,5003172,4325.001,968.327,,,23.02,0.2395,21.025,0.2552,1.8620,-1.5835,150.66445494763798,-26.252392753165953,13.39559687039938
9188,14814,1480.416,969.330,,0.3236,23.753,0.4982,,,1.2135,-2.3755,150.80542065300122,-26.252377278457146,12.587093239607375
9189,5003173,3857.727,969.351,,,23.041999999999998,0.3310,21.735,0.3401,1.9885,0.7275,150.6876110825854,-26.252361466981835,13.216660984332144
9190,5003174,1656.489,969.498,,,23.851,0.5013,22.415999999999997,0.3116,1.4660,-0.2690,150.79669521047182,-26.25237200492489,12.617523709628545
9191,5003175,2323.824,969.785,,,23.052,0.2514,21.698999999999998,0.2139,1.8280,3.2380,150.76362487488714,-26.252362776507606,12.757666625579859
9200,14857,2196.989,970.691,18.752,0.0092,18.191,0.0128,18.006,0.0209,1.4533,-1.3573,150.76991028595273,-26.25232242244411,12.722634469364953
9204,5003178,848.907,971.187,,,23.582,0.3079,22.314,0.2799,1.3985,5.3810,150.83671552496654,-26.25228254385698,12.48455298588386
9209,5003179,314.206,971.957,,,23.957,0.2748,22.215000000000003,0.3558,1.5680,2.6690,150.86321297116308,-26.252232689349658,12.428663954054464
9217,5003181,4102.165,973.307,,,23.391,0.3861,22.268,0.4066,1.7290,2.8605,150.67549791437793,-26.252178667540836,13.282321735806228
9219,5003183,1776.171,973.673,,,24.057,0.3258,23.271,0.5530,1.3960,-4.8275,150.79076422991002,-26.25218763985602,12.615721070829792
9220,5003184,630.457,973.750,,,22.938,0.3985,23.165,0.5650,1.9480,0.2835,150.84754088816948,-26.252162834026247,12.44560672258175
9221,5003185,4208.414,973.821,,,23.473,0.3143,21.473999999999997,0.2476,1.6050,-0.9480,150.67023269682784,-26.25215247333371,13.319189876317244
9226,5003186,158.124,974.384,,,23.682,0.3238,21.991999999999997,0.3509,1.8245,1.6405,150.87094761388855,-26.252119343451792,12.40408713379799
9236,5003188,574.003,975.820,,,23.974999999999998,0.7434,22.392000000000003,0.2801,1.5330,3.3425,150.85033843484362,-26.252069203832665,12.427956581696657
9237,5003189,241.347,975.939,,,23.961,0.2735,22.955,0.9692,1.6675,3.7420,150.86682338996636,-26.252053206073313,12.400284206163663
9238,5003190,2064.607,975.941,,,23.05,0.2389,22.695999999999998,0.4301,1.5645,1.6955,150.77647055911225,-26.2520887068552,12.662066523285196
9241,5003191,1130.922,976.041,,,23.093999999999998,0.3121,23.207,0.6670,1.4625,4.5560,150.82273995768205,-26.252073098256414,12.492802659962043
9245,166253,41.575,976.172,,0.3092,30.256999999999998,0.6083,,,0.0350,3.9970,150.87672318819452,-26.25203551524992,12.387269260127164
9249,5003192,309.987,977.258,,,24.23,0.7295,21.332,0.2328,1.4840,-3.8380,150.86342184707016,-26.251996947879668,12.397367267224025
9250,5003193,189.391,977.423,,,23.304,0.4318,22.063000000000002,0.3128,1.6790,-1.4230,150.8693980387307,-26.251985408411578,12.388260568399195
9266,5003195,229.039,979.203,,,24.919999999999998,0.3742,22.898000000000003,0.4413,1.7255,6.0370,150.86743319194574,-26.25190770784992,12.380404476272188
9270,5003197,732.268,979.818,,,22.778,0.2417,22.585,0.6538,1.6400,-1.9410,150.84249539799387,-26.251895950112477,12.420631920627631
9276,5003199,252.370,981.273,,,23.692999999999998,0.2174,22.097,0.4192,1.4210,-1.4760,150.86627693276637,-26.25181652563197,12.369866698242642
9277,5003200,413.093,981.330,,,23.285,0.4166,22.408,0.4697,1.7915,-3.2385,150.85831222809628,-26.251819371067732,12.38148690063101
9281,5003202,525.786,981.729,,,23.74,0.3747,22.195999999999998,0.4319,1.6615,-1.8300,150.85272765890394,-26.251805147260036,12.38884726443125
9283,5003204,4131.448,982.069,,,20.820999999999998,0.0836,20.857,0.1523,1.9045,-0.6265,150.67404707961452,-26.251788343129117,13.242404122264052
9290,5003206,226.359,983.238,,,24.073999999999998,0.7501,23.189,1.1114,1.6065,-2.3835,150.8675658425591,-26.251728280978483,12.356664670094952
9291,5003207,720.107,983.333,,,22.343,0.2977,22.984,0.7113,1.8305,1.7165,150.84309793799886,-26.25173940297491,12.398694176826774
9294,5003208,711.465,984.027,,,22.547,0.3622,22.241,0.3052,1.7650,0.1055,150.8435261755757,-26.25170832574358,12.393698320760574
9297,5003209,812.817,984.150,,,22.608999999999998,0.3210,22.351999999999997,0.2654,1.9125,-0.2355,150.83850362646734,-26.251705510951282,12.404208249435982
9299,5003210,2119.640,984.379,,,23.928,0.4703,23.082,0.5693,1.5750,-3.8600,150.77374333107122,-26.251713881447014,12.624506522198917
9305,5003211,427.751,984.905,,,23.08,0.5921,21.979999999999997,0.2556,1.7970,0.6725,150.85758571748454,-26.25166095165112,12.36176454487057
9306,5003212,555.900,985.201,,,22.933,0.2700,22.551000000000002,0.3622,1.9115,2.2175,150.851235230666,-26.25165173811943,12.371277185392788
9310,5003214,3065.684,985.465,,,22.936999999999998,0.3155,22.392000000000003,0.2876,1.9205,0.3365,150.72686162371159,-26.251660923488124,12.864444826600192
9311,5003215,1602.279,985.571,,,22.49,0.2496,23.298000000000002,0.3473,1.8025,-0.7600,150.79938141895454,-26.251657033034164,12.51287968197784
9312,5003216,184.058,986.252,,,24.243,0.3672,22.130000000000003,0.5928,1.6820,1.7105,150.86966196531446,-26.25159281877268,12.336393742050198
9316,15044,3958.496,986.687,23.82,0.1928,23.409,0.4868,22.709000000000003,0.5035,1.5383,-2.3973,150.68261794329413,-26.251588228064364,13.151911660055022
9317,5003217,3930.254,986.777,,,26.933999999999997,0.1883,22.537999999999997,0.5904,1.1070,3.9720,150.6840174897851,-26.251585017210914,13.141184729061285
9318,5003218,683.349,986.847,,,23.063,0.3143,22.225,0.3828,1.6450,-2.3610,150.84491939071467,-26.25158222639069,12.374195230908194
9341,5003225,1769.763,988.735,,,24.541,0.7455,22.283,0.3824,1.4205,3.5190,150.79108163198097,-26.251518162594504,12.525711846450731
9349,5003229,1889.461,989.541,,,23.851,0.3382,22.473,0.4147,1.5090,-2.2360,150.78514993659695,-26.251483299860116,12.544863143996428
9356,5003231,1760.068,990.389,,,23.762999999999998,0.4668,22.567,0.6784,1.7680,-2.1480,150.7915620552195,-26.251444563387484,12.514080361504291
9367,5003235,986.024,991.902,,,23.133,0.2478,22.412999999999997,0.3149,1.4260,2.0180,150.82992007807664,-26.251365106713113,12.379846965000777
9371,5003236,1502.785,992.639,,,22.747999999999998,0.3150,22.994999999999997,0.6694,1.8485,-3.0680,150.80431178777147,-26.251341634748407,12.453637058153294
9373,5003237,2327.733,993.013,,,23.435,0.4224,22.957,0.6436,1.9455,-0.3850,150.76343117290037,-26.251330423040468,12.621823984130005
9378,5003238,2123.124,993.408,,,24.271,0.4859,22.535000000000004,0.5889,1.6160,0.1590,150.7735706492169,-26.251312604645985,12.572090132228128
9381,5003239,2255.846,994.054,,,23.677,0.3004,22.539,0.6764,1.9365,1.4650,150.76699355995302,-26.251284145282003,12.598655392696687
9385,5003242,2093.743,994.120,,,23.105999999999998,0.2609,21.999000000000002,0.3109,1.6385,-0.0305,150.77502663292907,-26.251280864119128,12.561363472026066
9386,5003243,519.756,994.366,,,22.637999999999998,0.2207,22.755000000000003,0.3477,1.6725,1.8580,150.85302605336057,-26.251243323186273,12.314280780229671
9387,5003244,619.768,994.412,,,23.2,0.6271,23.273000000000003,0.5392,1.8135,9.5120,150.8480699324335,-26.251244222614883,12.323404452169228
9393,5003245,2523.447,995.732,,,22.8,0.3178,21.950000000000003,0.3263,1.9275,-2.0425,150.7537325018923,-26.25120916444329,12.654288661617949
9394,5003246,1554.639,995.792,,,22.631999999999998,0.2292,23.287999999999997,0.4323,1.7070,2.6400,150.80174209919133,-26.251202182829477,12.444131476191375
9398,5003248,326.137,996.341,,,23.485,0.3375,24.036,1.7438,1.4735,-0.7685,150.86262081345293,-26.25114936334509,12.286990459646589
9405,5003249,3955.308,996.827,,,22.769,0.2320,22.793,0.8864,1.9300,-2.7500,150.68277624270502,-26.251137653232078,13.091820492371905
9407,15180,3761.050,997.003,18.595,0.0087,18.064999999999998,0.0110,17.845,0.0175,1.2983,-0.7560,150.69240274600782,-26.2511349741372,13.021663335555123
9408,5003251,1717.795,997.188,,,24.407,0.3300,22.659,0.4681,1.4390,0.0535,150.79365683671494,-26.25114198274498,12.46588842242825
9411,5003252,989.797,997.617,,,23.217,0.3029,21.872,0.2972,1.3540,1.7735,150.82973296425808,-26.251111192020154,12.346741709074687
9415,5003253,91.090,998.222,,,22.785,0.2379,21.673000000000002,0.2827,1.8325,-0.7940,150.87426852650572,-26.251057401931256,12.261282907877584
9419,5003255,252.522,998.528,,,23.16,0.2895,22.340000000000003,0.4825,1.6075,1.4730,150.86626873282404,-26.251049645994616,12.269086095245903
9425,15214,94.063,998.793,,0.2254,22.923,0.2810,22.532000000000004,0.6214,1.5813,-0.2640,150.8741211753791,-26.251032135920447,12.25811034996864
9427,5003257,921.792,999.888,,,22.759999999999998,0.2107,22.433999999999997,0.2991,1.4560,-1.6325,150.8331029085702,-26.25100870374033,12.32478100135138
9428,166532,4082.441,1000.048,,0.3633,,,22.301000000000002,0.4534,1.6440,-0.1635,150.67647624941134,-26.250990785087623,13.119826018140543
9430,5003258,1307.983,1000.126,,,22.473,0.2569,22.404000000000003,0.2769,1.8300,-1.4435,150.8139651309839,-26.25100591412703,12.377483031443099
9432,166541,2150.923,1000.534,,0.3115,,,21.427999999999997,0.2645,1.3590,-1.2895,150.77219303911573,-26.25099597217244,12.5363537810779
9441,5003260,637.971,1001.619,,,23.811,0.6113,22.689,0.3875,1.6485,-2.1065,150.84716765179053,-26.250924430491665,12.282949478591798
9446,5003261,49.691,1002.045,,,28.311999999999998,0.3907,21.192,0.3455,1.6840,3.4315,150.87631989563332,-26.250885921680528,12.236912814633719
9449,5003262,2004.903,1002.303,,,23.959,0.3802,22.386000000000003,0.3586,1.4835,-1.2450,150.77942908548286,-26.25091679638358,12.493818505893534
9454,5003263,964.481,1002.600,,,22.964,0.3786,24.256,2.2888,1.9025,5.7315,150.83098737876176,-26.250889156461987,12.314201456536571
9456,5003264,568.703,1002.807,,,22.581,0.2055,22.816000000000003,0.6036,1.6735,1.9110,150.85060019665642,-26.250869631397883,12.269309103532674
9460,5003265,659.430,1003.442,,,22.319,0.2664,23.328000000000003,0.9692,1.9325,3.0700,150.846104191935,-26.250844011477614,12.27441177806544
9474,5003269,2101.407,1005.362,,,23.024,0.2142,23.231,0.7606,1.7245,-1.7355,150.77464679825837,-26.250781247970444,12.49682613345224
9478,5003270,207.251,1005.562,,,23.078,0.2969,22.262,0.4127,1.7550,-0.0250,150.86851186460905,-26.250735431248096,12.225108454453478
9484,15293,25.811,1005.934,,0.2543,21.77,0.5001,27.813000000000002,0.7145,1.6703,4.3280,150.87750310251758,-26.250712159284564,12.213127637942131
9487,5003272,879.996,1006.042,,,23.08,0.2615,23.304000000000002,0.8092,1.5495,-3.9560,150.83517395182204,-26.25073419886017,12.283534805388902
9490,5003273,1210.864,1006.293,,,23.086,0.2582,23.756999999999998,0.5507,1.6375,0.7510,150.81877775647908,-26.250730106446177,12.326400319657504
9491,5003274,1403.021,1006.305,,,23.279999999999998,0.3163,21.966,0.2541,1.2960,0.2575,150.8092553974648,-26.250732820750095,12.35633421415563
9493,5003275,4044.464,1006.974,,,22.737,0.2070,22.384,0.5152,1.6905,-0.3700,150.67835843287543,-26.250684102307865,13.065544877660802
9512,5003276,4052.931,1009.237,,,23.223,0.3271,22.144,0.4118,1.6735,4.3515,150.67793892549435,-26.250583273411074,13.055545094536535
9518,5003278,4083.551,1009.505,,,23.465999999999998,0.3684,22.055,0.3254,1.7985,0.3225,150.6764215615623,-26.25057044233658,13.065372272550498
9529,5003280,4148.949,1010.778,,,24.345,0.4075,22.927,0.7296,1.5965,1.2750,150.67318081129415,-26.250511846479704,13.08252562196679
9534,5003282,46.119,1011.177,,,28.046,0.5784,21.412999999999997,0.3016,1.7725,3.7595,150.87649651732215,-26.250479920389466,12.183539943479502
9538,5003284,87.234,1011.770,,,24.416999999999998,0.3798,21.305999999999997,0.2465,1.7380,-2.2890,150.8744590446005,-26.25045512682773,12.18211208888694
9545,5003285,266.680,1012.143,,,23.8,0.4075,22.089,0.2910,1.8275,-0.2115,150.86556660829575,-26.250445029364855,12.19050333940616
9546,15376,701.287,1012.179,,0.2988,23.455,0.3981,,,1.1365,-0.6230,150.84402970057116,-26.25045685544964,12.227468628606744
9551,5003287,495.719,1012.506,,,22.727,0.2161,22.17,0.2980,1.6325,-1.3850,150.85421659423164,-26.250436371930128,12.205931184010419
9567,5003290,287.207,1014.140,,,23.727,0.4167,22.625,0.4896,1.6795,-1.1960,150.86454931950158,-26.250356980641392,12.180223335798646
9569,5003292,211.657,1014.293,,,23.23,0.2737,22.353,0.5012,1.6870,0.6770,150.86829318084912,-26.25034754548668,12.174415375173044
9592,5001771,-25.771,1015.946,,0.4883,23.854,0.4926,21.134,0.5020,1.6537,4.6723,150.88005880573422,-26.25026516603423,12.152593953557526
9597,5003295,4333.424,1016.705,,,24.797,0.6750,21.042,0.2442,1.9520,1.3955,150.66403939683383,-26.250242340382346,13.119091203107349
9598,5003296,1250.194,1016.881,,,23.375999999999998,0.3659,22.588,0.2866,1.7800,1.4390,150.8168285446235,-26.250260246334264,12.269969062982257
9606,5003297,1140.398,1017.673,,,24.018,0.4471,22.810000000000002,0.7807,1.5090,2.0000,150.8222694558166,-26.25022298244636,12.249230688568092
9614,15457,34.443,1018.170,,0.4125,24.209,0.6089,21.392000000000003,0.4405,1.4193,-2.0353,150.87707482045707,-26.25016867329908,12.142261808125763
9618,5003299,3965.156,1018.297,,,22.906,0.2654,22.153,0.3470,1.5495,0.3610,150.68228889772783,-26.250183157556858,12.970647389589773
9625,5003300,1029.067,1019.142,,,23.573999999999998,0.3391,23.259999999999998,0.7352,1.4180,-0.1480,150.8277864131125,-26.25015539166937,12.225341251648716
9627,5003301,1882.055,1019.645,,,23.131,0.4343,22.314999999999998,0.2997,1.8340,1.9650,150.785516706042,-26.25014529685423,12.365947958729505
9628,5003302,1978.326,1019.653,,,23.807,0.4650,22.506999999999998,0.3919,1.4925,0.1455,150.7807460084621,-26.25014554822475,12.385922253791055
9629,5003303,291.750,1019.824,,,23.363,0.3246,22.262,0.4033,1.5685,-0.5670,150.86432397621104,-26.25010451505477,12.147325844697317
9630,5003304,195.409,1020.400,,,23.252,0.2551,21.805,0.4072,1.4570,-0.9200,150.86909810472838,-26.250075545256802,12.137783441470319
9640,5003305,754.266,1021.483,,,23.471,0.3602,22.775,0.4545,1.5975,1.1395,150.8414040581171,-26.25004476322064,12.178517329436572
9641,5003306,3994.125,1021.611,,,22.735,0.2317,22.177,0.3058,1.6745,0.6145,150.6808534506069,-26.250035042581324,12.962007969533474
9643,5003307,2291.225,1021.741,,,24.096,0.2544,22.033,0.3881,1.5545,-5.8515,150.76524033558255,-26.25005363282575,12.443939319751689
9648,5003308,1698.191,1022.122,,,22.997,0.3763,22.630000000000003,0.2630,1.8630,2.6725,150.79462803483145,-26.250033611378182,12.315243811169102
9649,5003309,995.798,1022.165,,,24.247999999999998,0.6221,22.026000000000003,0.2863,1.4515,-4.0805,150.8294349782319,-26.250020307824798,12.20322098367362
9651,15517,586.020,1022.505,17.759,0.0078,17.094,0.0093,16.973999999999997,0.0165,1.7020,-0.9053,150.84974141321717,-26.249994676261856,12.155505334797565
9652,5003310,447.774,1022.816,,,22.929,0.3366,22.6,0.3562,1.8115,4.2240,150.85659214273406,-26.249976660792086,12.141544318754985
9654,5003311,498.675,1023.064,,,22.253,0.2094,22.784,0.4258,1.5225,0.7955,150.85406975060732,-26.24996722035662,12.144368135200475
9659,5003312,1429.476,1023.596,,,23.909,0.3502,22.875,0.6874,1.3440,-0.0090,150.80794413258903,-26.249964732734153,12.258872229260703
9675,5001776,77.858,1026.788,,0.4837,24.622,0.3380,,,0.7315,-0.4885,150.87492304035857,-26.249787310094028,12.094123134510118
9683,5003313,1106.519,1027.530,,,22.832,0.3322,22.808999999999997,0.5914,1.9395,3.3620,150.8239481028315,-26.24978421706262,12.186500510991678
9686,166790,4219.762,1027.864,13.987,0.0074,13.143999999999998,0.0092,13.056000000000001,0.0313,7.1270,0.2867,150.66967229801185,-26.249750204947553,13.01051202995024
9708,166810,40.874,1030.795,,0.3808,28.012999999999998,0.5166,21.822000000000003,0.4822,1.2763,3.3073,150.8767555952064,-26.249607812684214,12.069030137073325
9716,5001789,692.165,1032.262,,0.3413,24.23,0.5119,22.746000000000002,0.5343,1.2027,-3.0290,150.84448113045846,-26.24956403285047,12.108727734633392
9721,5003315,2244.942,1032.562,,,24.043,0.2251,22.883000000000003,1.0849,1.9400,0.9690,150.76753387088687,-26.24957267526733,12.369302376831687
9729,5003316,2603.873,1033.533,,,22.951999999999998,0.3074,21.96,0.3744,1.9035,-1.0630,150.74974718106503,-26.24952876680186,12.452753070934246
9731,5003317,906.889,1033.889,,,23.431,0.2423,23.039,0.6163,1.3950,-2.9120,150.83384053432363,-26.249497203235347,12.123195298471611
9732,5003318,4050.837,1033.940,,,23.701999999999998,0.4167,23.036,0.6391,1.3935,0.3520,150.67804350989292,-26.249485429733294,12.91142128752286
9738,5003319,606.779,1034.433,,,23.355999999999998,0.2510,22.337000000000003,0.4024,1.2270,-1.4370,150.84871232515613,-26.24946514695046,12.087564514266969
9742,5003321,89.064,1034.947,,,25.214,0.4275,21.811999999999998,0.4248,1.9865,3.3850,150.87436739109964,-26.24942511227028,12.047133683813641
9743,166848,1955.713,1034.969,18.014,0.0077,17.439999999999998,0.0096,17.201999999999998,0.0189,1.6827,-1.3653,150.78186649303854,-26.249464711114555,12.290897374626121
9757,5003322,1295.953,1038.027,,,23.541,0.2878,21.772,0.3386,1.1750,0.1660,150.81456056084755,-26.24932122744401,12.152489757830944
9758,166871,1730.584,1038.032,16.025,0.0050,15.623,0.0063,15.657,0.0113,2.1490,-0.7803,150.7930226340928,-26.24932682587497,12.227647352679247
9761,166891,1573.280,1038.415,,0.3765,23.583,0.3298,,,0.7405,-1.1030,150.80081775286547,-26.249308067902373,12.196330687355802
9764,5003326,997.051,1039.110,,,23.39,0.2814,22.798000000000002,0.4702,1.3405,-0.4285,150.82937246884686,-26.249267227599447,12.103779839732042
9766,166878,2667.231,1039.448,18.137,0.0077,17.549999999999997,0.0104,17.336,0.0125,1.4320,-1.5970,150.7466075406532,-26.249265518470615,12.434789675049164
9769,5003327,1786.112,1039.882,,,24.221999999999998,0.3086,23.186,0.7764,1.4780,1.7510,150.79027095251632,-26.249245116223317,12.2275005372018
9777,5003328,2280.161,1040.627,,,23.733,0.4290,21.723,0.3368,1.8090,1.5015,150.76578860292437,-26.249214255083604,12.330094357356032
9786,15754,180.003,1042.545,,0.2769,,,21.503999999999998,0.3157,1.4280,-0.9300,150.86986065748295,-26.249090774581816,12.00767580936204
9787,5003329,429.421,1042.579,,,23.534,0.3674,22.098999999999997,0.2599,1.4210,-0.9315,150.85750092152935,-26.249097728312886,12.024433618568485
9801,166952,34.994,1044.634,,0.2800,28.868,0.4352,20.755000000000003,0.3310,1.0430,3.4707,150.87704638336345,-26.248992523090582,11.988182767948018
9803,5003331,3386.152,1044.721,,,22.36,0.2241,21.747,0.2211,1.9670,0.3825,150.71098188757344,-26.24902229420978,12.616932556212257
9807,5003332,918.372,1045.617,,,24.276,0.6619,23.034,0.5212,1.3835,-3.1815,150.83327119330963,-26.248976232001926,12.055690999029512
9809,5003334,241.684,1045.900,,,23.762999999999998,0.2804,22.551000000000002,0.4354,1.3770,2.0980,150.86680396901264,-26.2489438560021,11.991772352897051
9811,5003335,3000.864,1046.233,,,22.753,0.3422,22.162,0.4678,1.9235,-2.8350,150.730074614847,-26.248960940530658,12.488826143091341
9818,5003337,1278.096,1047.051,,,24.477,0.4356,23.584000000000003,1.4681,1.3140,6.9105,150.8154452811786,-26.248919854485344,12.096626385747436
9819,5003338,320.561,1047.056,,,24.038999999999998,0.2704,23.311,0.3356,1.4290,0.3660,150.86289523640716,-26.248895187045616,11.990198272704951
9820,5003339,4003.574,1047.216,,,23.269,0.2735,21.884999999999998,0.3209,1.5675,0.4315,150.68038603113692,-26.248896775000706,12.816834080514537
9827,5001805,101.647,1048.650,,0.3930,23.921,0.3772,,,0.6155,-2.1570,150.87374327880298,-26.248816565082887,11.967907447124196
9829,5003341,1063.528,1049.044,,,22.907,0.3030,22.104,0.2283,1.9350,-0.8955,150.82607800524255,-26.248827154373405,12.054115941521255
9841,5003345,71.246,1051.230,,,24.369,0.6785,21.398000000000003,0.2409,1.9055,0.7735,150.87524966595052,-26.248700754467887,11.951413755912734
9843,5003346,901.764,1051.529,,,24.262999999999998,0.3623,22.814,0.2687,1.1865,0.4955,150.83409403523544,-26.248713084812348,12.018954812863432
9846,5003347,1285.873,1051.958,,,23.935,0.3379,22.101999999999997,0.3618,1.3870,3.2885,150.81505980312144,-26.2487019011542,12.068932194794531
9847,166974,1814.343,1051.994,23.436,0.0985,22.633,0.1526,21.991999999999997,0.2792,1.2217,-0.3983,150.78887186838958,-26.248707047352895,12.161691479808985
9849,5003348,1821.927,1052.414,,,22.528,0.2843,23.447000000000003,1.0587,1.8380,1.7310,150.78849604506493,-26.248688443008103,12.160723211175222
9854,5003350,1222.637,1052.854,,,23.506,0.2507,22.354,0.2802,1.1890,-0.9575,150.81819339622405,-26.248660953791013,12.054137102661098
9855,5003351,313.459,1052.878,,,23.951,0.4048,22.353,0.3251,1.4305,0.0765,150.8632469519495,-26.248636193213134,11.955695712369565
9858,15952,4182.376,1053.076,16.535,0.0050,15.875,0.0050,,,1.2495,-0.6690,150.67152584175278,-26.248630884655,12.850214039788609
9859,5003352,679.580,1053.297,,,23.614,0.2803,23.142000000000003,0.3762,1.3050,2.0255,150.84510413035736,-26.248628802524024,11.984092295492534
9862,5003353,4019.798,1053.656,,,23.386,0.2965,22.049,0.4613,1.6175,-0.6210,150.6795822719702,-26.24861008223506,12.785476289236975
9869,5003357,919.039,1054.927,,,24.141,0.3008,22.683999999999997,0.4464,1.2085,4.1345,150.83323789761485,-26.248562471607855,12.001078206779813
9872,5003358,340.676,1055.671,,,23.855,0.3135,22.439,0.4798,1.3470,2.7680,150.8618981343507,-26.248512973818375,11.941259060246011
9885,5003359,2093.698,1058.372,,,23.052,0.2037,22.907000000000004,0.8182,1.4350,-0.0310,150.77502861138828,-26.24842522951967,12.182797182389344
