,ID,X,Y,K,K_err,J,J_err,H,H_err,chi,sharp,ra,dec
1753,228056,4488.350,3991.957,15.097,0.0119,15.905999999999999,0.0107,15.1385,0.0125,2.9557,-0.0360,16.111234541460533,1.9025690256481238
1764,228273,1017.853,4002.944,19.278,0.0590,20.161,0.0223,19.6435,0.0470,1.6527,-0.0620,16.26556371927231,1.903059080978572
1765,228288,2976.069,4004.252,20.782,0.1860,21.4,0.0481,20.8235,0.0967,1.7753,-0.1340,16.178483953531668,1.9031179253888337
1773,32798,1915.691,4012.717,21.225,0.2500,22.439999999999998,0.0983,22.2185,0.2732,1.8157,-0.0723,16.225637840030316,1.903494307233017
1796,33285,3783.059,4030.445,21.054000000000002,0.2516,22.384999999999998,0.0880,21.6145,0.1726,1.6253,-0.5137,16.142597943644095,1.9042810712035787
1805,228878,4432.148,4035.214,18.016000000000002,0.0375,18.921,0.0192,18.3005,0.0275,2.1620,-0.0390,16.113733668195202,1.9044916916957144
1838,229258,2754.927,4054.038,19.335,0.0661,20.262,0.0223,19.5505,0.0392,1.5910,0.0433,16.18831787594805,1.9053307728909048
1885,230072,3657.295,4093.833,19.495,0.0739,20.409999999999997,0.0260,19.682499999999997,0.0451,1.6567,0.1750,16.148190431481833,1.907098512936485
1910,230469,3062.450,4113.109,18.401,0.0353,19.213,0.0150,18.656499999999998,0.0259,1.6353,0.1267,16.174642586365792,1.9079559369593395
1911,35454,1475.931,4113.325,23.035,1.0868,23.33,0.1851,21.839499999999997,0.2104,1.8753,-2.3313,16.245193601002292,1.9079654552992413
1914,230494,4147.154,4113.868,20.151,0.1129,21.848999999999997,0.0638,20.926499999999997,0.1135,1.7723,-0.6860,16.126406858584183,1.907988062206976
1929,230641,535.959,4120.921,19.877,0.0940,20.708,0.0315,19.973499999999998,0.0556,1.6997,-0.6800,16.286993252402553,1.908301642461006
1930,230643,3127.531,4120.929,19.916,0.1030,20.786,0.0329,20.066499999999998,0.0639,1.8163,0.2480,16.171748488368443,1.9083034336260554
1938,35791,644.202,4126.417,21.068,0.2283,22.012999999999998,0.0719,21.2355,0.1320,1.7633,-0.5037,16.282179805450106,1.9085461229568266
1946,230871,1502.779,4131.880,19.271,0.0638,20.265,0.0242,19.5065,0.0393,1.6167,-0.0900,16.243999713796985,1.908790146180039
1958,231048,459.647,4140.154,20.668,0.1779,21.055,0.0404,20.5275,0.0826,1.8573,-0.4107,16.29038681236597,1.9091562812963194
1959,231068,669.273,4140.567,20.05,0.1029,20.875999999999998,0.0332,20.3125,0.0748,1.7253,-0.4533,16.281064950515287,1.9091750582773352
1969,36457,593.580,4150.334,21.366,0.2569,22.601,0.1046,21.793499999999998,0.2090,1.7283,-1.5177,16.28443096447624,1.909608999883176
1988,36835,1781.969,4162.415,22.1,0.7025,,,22.4515,0.3676,2.0005,-0.6600,16.23158441082677,1.9101474709503254
2010,231846,1547.421,4179.053,20.708000000000002,0.1521,21.431999999999995,0.0510,20.6425,0.0880,1.6853,-0.9417,16.24201456832239,1.91088676150164
2024,232046,1413.508,4190.437,20.68,0.1632,22.458,0.0991,21.3175,0.1478,1.7780,-1.2777,16.247969574981926,1.9113925879533114
2034,232188,816.694,4196.703,19.029,0.0506,19.988,0.0219,19.1935,0.0365,1.6417,-0.0740,16.27450938066547,1.9116702531031202
2047,232392,4239.519,4206.580,19.552,0.0773,20.409999999999997,0.0279,19.714499999999997,0.0509,1.7630,0.3820,16.122299269522717,1.9121083866008
2050,232412,1240.780,4207.649,19.490000000000002,0.0702,20.440999999999995,0.0268,19.6875,0.0432,1.6180,-0.7383,16.255650661694965,1.9121573684741158
2057,232591,2907.647,4216.612,19.365000000000002,0.0787,20.245999999999995,0.0227,19.5875,0.0427,1.7677,0.1703,16.18152645681863,1.9125561835851734
2085,232933,4404.890,4233.168,19.307,0.1037,20.086999999999996,0.0320,19.4665,0.0642,2.6133,0.0770,16.114945308505064,1.913289690390085
2091,233003,3577.447,4235.855,18.845,0.0536,19.815999999999995,0.0201,19.229499999999998,0.0349,1.7513,0.0417,16.15174097904619,1.9134107106786966
2096,38860,2877.421,4238.380,21.782,0.4102,22.760999999999996,0.1104,22.511499999999998,0.1941,1.9180,0.2390,16.18287056778123,1.9135236692305382
2098,233086,4086.341,4240.157,18.014,0.0308,19.021,0.0155,18.197499999999998,0.0212,1.7423,0.3153,16.129110884890125,1.9136010206255547
2105,233201,2579.932,4246.653,20.127,0.1167,20.791999999999994,0.0361,20.2105,0.0726,1.8610,0.2170,16.196099666990072,1.9138914998080465
2111,233241,2848.879,4248.040,18.658,0.0463,19.665999999999997,0.0182,18.8695,0.0296,1.7300,0.1167,16.184139801836626,1.9139530201207342
2114,233305,1331.080,4251.209,13.864,0.0138,14.776999999999997,0.0114,14.0075,0.0136,5.6533,0.2233,16.251635148024864,1.91409347264752
2158,233770,1971.359,4274.541,18.291,0.0359,19.247999999999998,0.0198,18.4285,0.0228,1.7733,0.0543,16.22316244932615,1.9151309382480253
2175,233870,450.359,4280.212,18.703,0.0444,19.708,0.0218,18.9255,0.0327,1.7753,-0.2883,16.29080015068194,1.9153810479384192
2212,234314,152.718,4301.039,17.823,0.0623,18.818999999999996,0.0253,18.2335,0.0417,3.1647,-0.0047,16.304036049188728,1.9163059995605836
2216,234363,1596.102,4303.431,18.532,0.0421,19.519,0.0195,18.7285,0.0281,1.7580,0.1233,16.23984987256427,1.9164147073767268
2237,234614,3630.207,4316.498,18.178,0.0327,19.259,0.0168,18.4085,0.0240,1.7210,0.2753,16.149394659476368,1.9169947601131816
2322,235576,1681.583,4361.387,19.737000000000002,0.1054,20.477999999999994,0.0351,20.0845,0.0788,2.1633,-0.3300,16.236048637314653,1.918990593463038
2358,235857,2085.336,4376.629,19.063,0.0836,19.623999999999995,0.0239,19.2285,0.0516,2.4553,0.1927,16.218094004337782,1.9196682158754235
2391,236169,3035.274,4392.010,19.473,0.1017,20.244,0.0316,19.5875,0.0589,2.2760,0.0400,16.175850838361626,1.9203515448207034
2417,43448,706.961,4402.641,22.139,0.8495,,0.1794,24.1815,2.5690,1.8637,0.1167,16.279389502129217,1.9208228409853014
2422,236443,3605.485,4405.375,19.338,0.0953,20.052,0.0306,19.3905,0.0556,2.3933,0.0387,16.150493892262098,1.9209448806958602
2493,236933,1084.845,4430.559,15.444,0.0157,16.430999999999997,0.0179,15.7925,0.0155,3.9307,-0.3393,16.26258528357532,1.9220642590038044
2555,237314,624.810,4449.525,18.337,0.0467,19.330999999999996,0.0222,18.519499999999997,0.0304,2.1170,-0.4733,16.283042797037286,1.922906414321803
2681,237737,3280.263,4469.754,17.357,0.0284,18.930999999999997,0.0189,18.1385,0.0240,1.9307,0.3893,16.164956239779745,1.9238065910582818
2693,5000084,1069.838,4470.580,,,,0.2464,21.7715,0.6330,2.0600,6.8275,16.26325269511326,1.9238429464558557
2904,5000103,1180.068,4495.003,,,,0.2764,22.502499999999998,1.1924,2.2230,-0.5665,16.25835085986317,1.9249285637022553
3091,47551,1094.834,4512.632,21.109,0.4623,,0.3229,,,2.1860,4.8920,16.262141197576067,1.9257119577239137
3580,239240,3572.318,4549.821,17.740000000000002,0.0586,18.232,0.0247,17.8845,0.0520,3.8323,-0.0427,16.15196859197622,1.927364744073853
3760,286090,1228.523,6601.495,19.279,0.2194,,0.1931,28.2315,0.9529,1.5067,4.3253,16.256198807967422,2.0185504385680417
3772,98872,2005.810,6604.515,20.972,0.5400,,0.7794,27.243499999999997,0.4727,1.9657,6.7337,16.221631292236353,2.018685318842632
3805,286110,3829.953,6610.802,18.92,0.1214,19.519999999999996,0.0224,18.993499999999997,0.0676,3.3870,-0.0297,16.140507970052173,2.01896340210167
3862,286140,3804.657,6616.689,20.48,0.4011,21.241999999999997,0.0334,20.7685,0.2280,3.6767,0.3860,16.141632922751484,2.0192250924181585
3951,286156,3883.302,6621.071,19.679000000000002,0.1821,20.558999999999997,0.0270,19.9335,0.1339,3.5783,-0.2227,16.1381354155748,2.0194197014472435
4019,286168,3170.138,6624.998,16.878,0.0407,18.373999999999995,0.0164,17.7435,0.0346,3.5690,0.3387,16.169851247507793,2.019595285972821
